"feature"	"metadata"	"value"	"name"	"coef"	"stderr"	"pval_individual"	"error"	"qval_individual"	"model"	"N"	"N.not.zero"	"pval_joint"	"qval_joint"
"Bacteroides_stercoris"	"age"	"age"	"age"	-0.886949815547845	0.226148586777431	0.00082176410164525	NA	0.0121347165676282	"abundance"	405	243	6.31620702098878e-22	3.68866490025745e-19
"Bacteroides_stercoris"	"age"	"age"	"age"	-1.38237114565766	0.142582059424565	3.15810351049438e-22	NA	1.84433245012872e-19	"prevalence"	405	243	6.31620702098878e-22	3.68866490025745e-19
"Phascolarctobacterium_faecium"	"age"	"age"	"age"	0.340707260838833	0.192580768935616	0.0179007121953718	NA	0.0755239571671401	"abundance"	405	154	4.73302906329053e-17	1.38204448648084e-14
"Phascolarctobacterium_faecium"	"age"	"age"	"age"	1.02790970735539	0.121298385944583	2.36651453164526e-17	NA	6.91022243240416e-15	"prevalence"	405	154	4.73302906329053e-17	1.38204448648084e-14
"Flavonifractor_plautii"	"age"	"age"	"age"	-0.355762375719281	0.173004291477408	1	NA	1	"abundance"	405	309	1.1267695694903e-13	2.19344476194112e-11
"Flavonifractor_plautii"	"age"	"age"	"age"	-0.977102152508208	0.129997369290539	5.63384784745167e-14	NA	1.09672238097059e-11	"prevalence"	405	309	1.1267695694903e-13	2.19344476194112e-11
"Clostridium_sp_AF20_17LB"	"age"	"age"	"age"	-0.0715602875667233	0.19249178731237	1	NA	1	"abundance"	405	163	8.42337911772397e-11	1.2298133511877e-08
"Clostridium_sp_AF20_17LB"	"age"	"age"	"age"	0.738972725201935	0.112026116948449	4.21168955895069e-11	NA	6.149066756068e-09	"prevalence"	405	163	8.42337911772397e-11	1.2298133511877e-08
"Alistipes_communis"	"age"	"age"	"age"	-0.0822831527201232	0.189696837141974	1	NA	1	"abundance"	405	142	7.67362530934252e-10	8.96279436131206e-08
"Alistipes_communis"	"age"	"age"	"age"	0.710418663924334	0.113475875961491	3.83681265540732e-10	NA	4.48139718151575e-08	"prevalence"	405	142	7.67362530934252e-10	8.96279436131206e-08
"Gemmiger_formicilis"	"age"	"age"	"age"	-0.935148831809509	0.179182617495899	9.53162975747546e-06	NA	0.000383864725687421	"abundance"	405	204	1.15055705221572e-09	1.0160621242863e-07
"Lachnospira_eligens"	"age"	"age"	"age"	0.682384876942296	0.125149003411171	6.08941341795344e-10	NA	2.69761014415337e-07	"abundance"	405	284	1.21788268321988e-09	1.0160621242863e-07
"Gemmiger_formicilis"	"age"	"age"	"age"	-0.728786353132176	0.117601966456924	5.75278526273335e-10	NA	5.59937765572713e-08	"prevalence"	405	204	1.15055705221572e-09	1.0160621242863e-07
"Lachnospira_eligens"	"age"	"age"	"age"	0.0650834803338477	0.113328632594122	0.565771694896273	NA	0.695601410146155	"prevalence"	405	284	1.21788268321988e-09	1.0160621242863e-07
"Ruminococcus_gnavus"	"age"	"age"	"age"	-0.897314306439294	0.29161126759531	0.00851819795698283	NA	0.0496521275650447	"abundance"	405	167	2.17696677654141e-09	1.58918574687523e-07
"Ruminococcus_gnavus"	"age"	"age"	"age"	-0.755467838968958	0.123931228474637	1.08848338886311e-09	NA	9.08106141565792e-08	"prevalence"	405	167	2.17696677654141e-09	1.58918574687523e-07
"GGB9713_SGB15249"	"age"	"age"	"age"	-0.755605686007513	0.186583801965145	0.000861846247358522	NA	0.0121365573299432	"abundance"	405	151	2.56769395479502e-09	1.66614807733366e-07
