"feature"	"metadata"	"value"	"name"	"coef"	"stderr"	"pval_individual"	"qval_individual"	"model"	"N"	"N.not.zero"	"pval_joint"	"qval_joint"
"Bacteroides_stercoris"	"age"	"age"	"age"	-0.886949815547845	0.226148586777431	0.00082176410164525	0.0121347165676282	"abundance"	405	243	6.31620702098878e-22	3.68866490025745e-19
"Bacteroides_stercoris"	"age"	"age"	"age"	-1.38237114565766	0.142582059424565	3.15810351049438e-22	1.84433245012872e-19	"prevalence"	405	243	6.31620702098878e-22	3.68866490025745e-19
"Phascolarctobacterium_faecium"	"age"	"age"	"age"	0.340707260838833	0.192580768935616	0.0179007121953718	0.0755239571671401	"abundance"	405	154	4.73302906329053e-17	1.38204448648084e-14
"Phascolarctobacterium_faecium"	"age"	"age"	"age"	1.02790970735539	0.121298385944583	2.36651453164526e-17	6.91022243240416e-15	"prevalence"	405	154	4.73302906329053e-17	1.38204448648084e-14
"Flavonifractor_plautii"	"age"	"age"	"age"	-0.355762375719281	0.173004291477408	1	1	"abundance"	405	309	1.1267695694903e-13	2.19344476194112e-11
"Flavonifractor_plautii"	"age"	"age"	"age"	-0.977102152508208	0.129997369290539	5.63384784745167e-14	1.09672238097059e-11	"prevalence"	405	309	1.1267695694903e-13	2.19344476194112e-11
"Clostridium_sp_AF20_17LB"	"age"	"age"	"age"	-0.0715602875667233	0.19249178731237	1	1	"abundance"	405	163	8.42337911772397e-11	1.2298133511877e-08
"Clostridium_sp_AF20_17LB"	"age"	"age"	"age"	0.738972725201935	0.112026116948449	4.21168955895069e-11	6.149066756068e-09	"prevalence"	405	163	8.42337911772397e-11	1.2298133511877e-08
"Alistipes_communis"	"age"	"age"	"age"	-0.0822831527201232	0.189696837141974	1	1	"abundance"	405	142	7.67362530934252e-10	8.96279436131206e-08
"Alistipes_communis"	"age"	"age"	"age"	0.710418663924334	0.113475875961491	3.83681265540732e-10	4.48139718151575e-08	"prevalence"	405	142	7.67362530934252e-10	8.96279436131206e-08
"Gemmiger_formicilis"	"age"	"age"	"age"	-0.935148831809509	0.179182617495899	9.53162975747546e-06	0.000383864725687421	"abundance"	405	204	1.15055705221572e-09	1.0160621242863e-07
"Lachnospira_eligens"	"age"	"age"	"age"	0.682384876942296	0.125149003411171	6.08941341795344e-10	2.69761014415337e-07	"abundance"	405	284	1.21788268321988e-09	1.0160621242863e-07
"Gemmiger_formicilis"	"age"	"age"	"age"	-0.728786353132176	0.117601966456924	5.75278526273335e-10	5.59937765572713e-08	"prevalence"	405	204	1.15055705221572e-09	1.0160621242863e-07
"Lachnospira_eligens"	"age"	"age"	"age"	0.0650834803338477	0.113328632594122	0.565771694896273	0.695601410146155	"prevalence"	405	284	1.21788268321988e-09	1.0160621242863e-07
"Ruminococcus_gnavus"	"age"	"age"	"age"	-0.897314306439294	0.29161126759531	0.00851819795698283	0.0496521275650447	"abundance"	405	167	2.17696677654141e-09	1.58918574687523e-07
"Ruminococcus_gnavus"	"age"	"age"	"age"	-0.755467838968958	0.123931228474637	1.08848338886311e-09	9.08106141565792e-08	"prevalence"	405	167	2.17696677654141e-09	1.58918574687523e-07
"GGB9713_SGB15249"	"age"	"age"	"age"	-0.755605686007513	0.186583801965145	0.000861846247358522	0.0121365573299432	"abundance"	405	151	2.56769395479502e-09	1.66614807733366e-07
"GGB9713_SGB15249"	"age"	"age"	"age"	0.669562452877709	0.110317635739036	1.28384697822164e-09	9.372082941018e-08	"prevalence"	405	151	2.56769395479502e-09	1.66614807733366e-07
"Bifidobacterium_longum"	"age"	"age"	"age"	0.163349492746592	0.211111546838489	0.180196839727587	0.393237438420301	"abundance"	405	228	3.18822548847424e-09	1.86192368526896e-07
"Bifidobacterium_longum"	"age"	"age"	"age"	-0.679735896256262	0.112640788028416	1.59411274550772e-09	1.03440204819612e-07	"prevalence"	405	228	3.18822548847424e-09	1.86192368526896e-07
"Alistipes_SGB2313"	"age"	"age"	"age"	1.15740880726362	0.199388309384418	6.44437496983015e-09	3.42137725670983e-07	"prevalence"	405	33	6.44437496983015e-09	3.42137725670983e-07
"Alistipes_shahii"	"red_meat"	"red_meat"	"red_meat"	NA	NA	0.00642443429932501	0.0434985219687383	"abundance"	405	266	1.17212710432198e-08	5.70435190770028e-07
"Alistipes_shahii"	"red_meat"	"red_meat"	"red_meat"	NA	NA	5.86063553878341e-09	3.42137725670983e-07	"prevalence"	405	266	1.17212710432198e-08	5.70435190770028e-07
"Bacteroides_intestinalis"	"age"	"age"	"age"	1.11770638593513	0.196917313059387	1.37865572504663e-08	6.70945786189358e-07	"prevalence"	405	38	1.37865572504663e-08	6.193345718671e-07
"Dialister_invisus"	"age"	"age"	"age"	0.100225229436637	0.181611496687925	1	1	"abundance"	405	181	5.99366896748615e-08	2.50021619786565e-06
"Dialister_invisus"	"age"	"age"	"age"	-0.639709972955733	0.115437326048766	2.99683452864816e-08	1.34627028056194e-06	"prevalence"	405	181	5.99366896748615e-08	2.50021619786565e-06
"Clostridiaceae_bacterium_Marseille_Q4149"	"red_meat"	"red_meat"	"red_meat"	NA	NA	1.16843701943178e-07	4.5491147956544e-06	"prevalence"	405	68	1.16843701943178e-07	4.5491147956544e-06
"Clostridiales_bacterium"	"reads"	"reads"	"reads"	-0.294719776478059	0.130233453714025	1	1	"abundance"	405	317	1.42907147102307e-07	5.21611086923421e-06
"Clostridiales_bacterium"	"reads"	"reads"	"reads"	0.799574510360102	0.14841353298688	7.14535761039603e-08	2.98063488890806e-06	"prevalence"	405	317	1.42907147102307e-07	5.21611086923421e-06
"Waltera_intestinalis"	"age"	"age"	"age"	1.09698976666495	0.219192382785587	8.80807280445595e-08	1.95098812618699e-05	"abundance"	405	208	1.76161448330904e-07	5.90264479002456e-06
"Coprococcus_eutactus"	"red_meat"	"red_meat"	"red_meat"	NA	NA	1.8193083256925e-07	5.90264479002456e-06	"prevalence"	405	89	1.8193083256925e-07	5.90264479002456e-06
"Waltera_intestinalis"	"age"	"age"	"age"	0.36569550410547	0.104899074081203	0.000489998262864086	0.00332743006410031	"prevalence"	405	208	1.76161448330904e-07	5.90264479002456e-06
"GGB3304_SGB4367"	"red_meat"	"red_meat"	"red_meat"	NA	NA	2.01510022532997e-07	6.19378174522475e-06	"prevalence"	405	55	2.01510022532997e-07	6.19378174522475e-06
"GGB16040_SGB9347"	"age"	"age"	"age"	1.39163987556613	0.268782562577183	2.24797554688919e-07	6.51822862243509e-06	"prevalence"	405	22	2.24797554688919e-07	6.56408859691644e-06
"Phocaeicola_sartorii"	"reads"	"reads"	"reads"	-0.28928707885282	0.131383028150495	1	1	"abundance"	405	122	2.63907900866291e-07	7.00555518663244e-06
"Coprococcus_eutactus"	"age"	"age"	"age"	0.66592490382937	0.129237107782816	2.56711058760286e-07	6.51822862243509e-06	"prevalence"	405	89	2.56711058760286e-07	7.00555518663244e-06
"Phocaeicola_sartorii"	"reads"	"reads"	"reads"	0.649860919249909	0.123170433953045	1.31953959139069e-07	4.81631950857602e-06	"prevalence"	405	122	2.63907900866291e-07	7.00555518663244e-06
"Bacteroides_cellulosilyticus"	"age"	"age"	"age"	0.548503700938566	0.26352885649023	0.0122335208629669	0.0622925257734982	"abundance"	405	147	3.52501744012021e-07	8.95047906534872e-06
"Bacteroides_cellulosilyticus"	"age"	"age"	"age"	0.568938300959994	0.108933868591003	1.76250887538198e-07	5.90264479002456e-06	"prevalence"	405	147	3.52501744012021e-07	8.95047906534872e-06
"Oscillibacter_sp_ER4"	"age"	"age"	"age"	0.314710966971094	0.140980393985215	0.00238721600339009	0.0225007806276981	"abundance"	405	167	4.78256921747374e-07	1.16375850958528e-05
"Oscillibacter_sp_ER4"	"age"	"age"	"age"	0.565567741542334	0.109478381466291	2.39128489464904e-07	6.51822862243509e-06	"prevalence"	405	167	4.78256921747374e-07	1.16375850958528e-05
"Clostridium_sp_AM22_11AC"	"age"	"age"	"age"	0.0989642701844498	0.147756720237354	1	1	"abundance"	405	231	5.05352867097731e-07	1.1805042975403e-05
"Clostridium_sp_AM22_11AC"	"age"	"age"	"age"	0.594322328776183	0.115274663840722	2.52676465471564e-07	6.51822862243509e-06	"prevalence"	405	231	5.05352867097731e-07	1.1805042975403e-05
"Bacteroides_eggerthii"	"age"	"age"	"age"	1.63119131820574	0.329054299266132	3.30806710913123e-07	3.66368432336284e-05	"abundance"	405	172	6.61613312393166e-07	1.41132982784151e-05
