"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"Phocaeicola_sartorii"	"reads"	"reads"	"reads"	1.09514373725997	0	0.0787239668301347	5.41737101378567e-44	1.05855429609372e-40	1.08347420275714e-43	1.14414875811154e-40	NA	"prevalence"	1527	424
"Faecalibacterium_prausnitzii"	"dysbiosis_state"	"dysbiosis_CD"	"dysbiosis_statedysbiosis_CD"	-3.49194163836917	0	0.282163617540849	3.54275099714693e-35	3.46126772421255e-32	7.08550199429391e-35	3.74114505298719e-32	NA	"prevalence"	1527	1374
"Bifidobacterium_longum"	"age"	"age"	"age"	-0.672428387468092	0	0.0593867641608605	1.01111001373663e-29	4.93927241710342e-27	2.02222002747324e-29	7.11821449670581e-27	NA	"prevalence"	1527	843
"Clostridium_sp_AM49_4BH"	"diagnosis"	"CD"	"diagnosisCD"	-1.81049294555846	0	0.162948238658055	1.11100671030317e-28	4.34181422386478e-26	2.22201342060633e-28	5.86611543040072e-26	NA	"prevalence"	1527	344
"Phocaeicola_dorei"	"reads"	"reads"	"reads"	0.65950022958877	0	0.0634326812084893	2.56258274545074e-25	8.34547780768459e-23	5.12516549090151e-25	1.0824349516784e-22	NA	"prevalence"	1527	769
"GGB16040_SGB9347"	"age"	"age"	"age"	0.959785431885208	0	0.0943561467875372	2.64574976490589e-24	7.38542148660872e-22	5.2914995298118e-24	9.31303917246876e-22	NA	"prevalence"	1527	114
"Firmicutes_bacterium_AF16_15"	"diagnosis"	"UC"	"diagnosisUC"	-1.67302568460685	0	0.165975284149971	6.77476366502364e-24	1.65473602518202e-21	1.35495273300473e-23	2.0440429800757e-21	NA	"prevalence"	1527	827
"Eubacterium_rectale"	"dysbiosis_state"	"dysbiosis_CD"	"dysbiosis_statedysbiosis_CD"	-2.36034123205341	0	0.237168802828556	2.46774705145763e-23	5.35775304283134e-21	4.93549410291527e-23	6.51485221584816e-21	NA	"prevalence"	1527	1211
"Phascolarctobacterium_faecium"	"age"	"age"	"age"	0.573582942756144	0	0.05778324700496	3.19401931541863e-23	6.24111374232801e-21	6.38803863083726e-23	7.49529866018239e-21	NA	"prevalence"	1527	503
"Dysosmobacter_welbionis"	"dysbiosis_state"	"dysbiosis_CD"	"dysbiosis_statedysbiosis_CD"	-2.39540766502285	0	0.241667222753396	3.69147814631094e-23	6.55740754353779e-21	7.38295629262187e-23	7.7964018450087e-21	NA	"prevalence"	1527	1191
"Blautia_faecis"	"dysbiosis_state"	"dysbiosis_CD"	"dysbiosis_statedysbiosis_CD"	-2.41789548597885	0	0.248936141086085	2.65630578460566e-22	4.32535125259955e-20	5.31261156921132e-22	5.10010710644287e-20	NA	"prevalence"	1527	1125
"Fusicatenibacter_saccharivorans"	"dysbiosis_state"	"dysbiosis_CD"	"dysbiosis_statedysbiosis_CD"	-2.34982606021717	0	0.243286566702391	4.51664499955289e-22	6.78886486855873e-20	9.03328999910582e-22	7.94929519921312e-20	NA	"prevalence"	1527	1119
"Lachnospira_sp_NSJ_43"	"diagnosis"	"CD"	"diagnosisCD"	-1.65444063973956	0	0.176984858163163	8.93865989505542e-21	1.16440942899589e-18	1.78773197901108e-20	1.45218843833516e-18	NA	"prevalence"	1527	296
"Bacteroides_ovatus"	"dysbiosis_state"	"dysbiosis_CD"	"dysbiosis_statedysbiosis_CD"	-2.12944188701312	0	0.228316539484205	1.09209356907842e-20	1.33371927123702e-18	2.18418713815684e-20	1.6475011556383e-18	NA	"prevalence"	1527	1176
