"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"Phocaeicola_sartorii"	"reads"	"reads"	"reads"	1.09363395276164	0	0.0786391128354616	5.74404856235072e-44	1.12238708908333e-40	1.14880971247015e-43	1.21314305636848e-40	NA	"prevalence"	1527	424
"Faecalibacterium_prausnitzii"	"diagnosis"	"CD:dysbiosis_generaldysbiosis"	"diagnosisCD:dysbiosis_generaldysbiosis"	-3.48432817435428	0	0.281578050999869	3.60068742347973e-35	3.5178716127397e-32	7.20137484695951e-35	3.80232591919462e-32	NA	"prevalence"	1527	1374
"Bifidobacterium_longum"	"age"	"age"	"age"	-0.671890880580598	0	0.059355950469304	1.04843579682393e-29	5.12160886748489e-27	2.09687159364787e-29	7.38098800964051e-27	NA	"prevalence"	1527	843
"Clostridium_sp_AM49_4BH"	"diagnosis"	"CD"	"diagnosisCD"	-1.8084035215989	0	0.162810761795746	1.15478642022971e-28	4.51290533025772e-26	2.30957284045942e-28	6.09727229881287e-26	NA	"prevalence"	1527	344
"Phocaeicola_dorei"	"reads"	"reads"	"reads"	0.658910917284291	0	0.0633956924513281	2.65088556112473e-25	8.63305064406287e-23	5.30177112224947e-25	1.11973406101909e-22	NA	"prevalence"	1527	769
"GGB16040_SGB9347"	"age"	"age"	"age"	0.955839786245695	0	0.0940775425524943	2.9868692978931e-24	8.33763229726159e-22	5.97373859578622e-24	1.05137799285837e-21	NA	"prevalence"	1527	114
"Firmicutes_bacterium_AF16_15"	"diagnosis"	"UC"	"diagnosisUC"	-1.67144855387263	0	0.165874290697548	7.0111656866555e-24	1.71247721896561e-21	1.4022331373311e-23	2.11536884717378e-21	NA	"prevalence"	1527	827
"Eubacterium_rectale"	"diagnosis"	"CD:dysbiosis_generaldysbiosis"	"diagnosisCD:dysbiosis_generaldysbiosis"	-2.35781562996566	0	0.237014234168313	2.57323638157573e-23	5.58678209955442e-21	5.14647276315146e-23	6.79334404735992e-21	NA	"prevalence"	1527	1211
"Phascolarctobacterium_faecium"	"age"	"age"	"age"	0.573072424883565	0	0.0577538515492033	3.31759650916531e-23	6.48258357890901e-21	6.63519301833063e-23	7.78529314150793e-21	NA	"prevalence"	1527	503
"Dysosmobacter_welbionis"	"diagnosis"	"CD:dysbiosis_generaldysbiosis"	"diagnosisCD:dysbiosis_generaldysbiosis"	-2.39263465731354	0	0.241489607379964	3.84968247424657e-23	6.83843595879799e-21	7.69936494849314e-23	8.13052938560876e-21	NA	"prevalence"	1527	1191
"Blautia_faecis"	"diagnosis"	"CD:dysbiosis_generaldysbiosis"	"diagnosisCD:dysbiosis_generaldysbiosis"	-2.41562837012434	0	0.248768637317152	2.72423403055133e-22	4.43596107974774e-20	5.44846806110267e-22	5.23052933865856e-20	NA	"prevalence"	1527	1125
"Fusicatenibacter_saccharivorans"	"diagnosis"	"CD:dysbiosis_generaldysbiosis"	"diagnosisCD:dysbiosis_generaldysbiosis"	-2.3474788407565	0	0.243127797637732	4.6665957361316e-22	7.01425236030857e-20	9.33319147226322e-22	8.21320849559164e-20	NA	"prevalence"	1527	1119
"Lachnospira_sp_NSJ_43"	"diagnosis"	"CD"	"diagnosisCD"	-1.65192710463731	0	0.176790117036766	9.27606248337287e-21	1.20836173950071e-18	1.85521249667458e-20	1.50700338191412e-18	NA	"prevalence"	1527	296
"Bacteroides_ovatus"	"diagnosis"	"CD:dysbiosis_generaldysbiosis"	"diagnosisCD:dysbiosis_generaldysbiosis"	-2.12761137284896	0	0.228197364168681	1.12502872301435e-20	1.37394132798128e-18	2.25005744602871e-20	1.69718618786166e-18	NA	"prevalence"	1527	1176
"Clostridium_sp_AM49_4BH"	"diagnosis"	"UC"	"diagnosisUC"	-1.56525559606137	0	0.169491035965088	2.58202344687165e-20	2.96780812658071e-18	5.1640468937433e-20	3.63548901319529e-18	NA	"prevalence"	1527	344
"Bacteroides_faecis"	"reads"	"reads"	"reads"	0.59887801075966	0	0.0656897568745801	7.74008964570079e-20	8.40229731538852e-18	1.54801792914017e-19	1.02169183323251e-17	NA	"prevalence"	1527	434
"Dysosmobacter_welbionis"	"reads"	"reads"	"reads"	0.717732540078347	0	0.0797330068238005	2.22250874452642e-19	2.17139104340231e-17	4.44501748905285e-19	2.76114027555283e-17	NA	"prevalence"	1527	1191
"Roseburia_sp_AF02_12"	"diagnosis"	"CD"	"diagnosisCD"	-1.37990163869855	0	0.153524714429236	2.51449425241411e-19	2.33967703296056e-17	5.02898850482823e-19	2.95033992283256e-17	NA	"prevalence"	1527	363
"Clostridiales_bacterium"	"diagnosis"	"CD:dysbiosis_generaldysbiosis"	"diagnosisCD:dysbiosis_generaldysbiosis"	-2.46031109142594	0	0.274951878898103	3.61484402775792e-19	3.21063874101772e-17	7.22968805551584e-19	4.01818451927617e-17	NA	"prevalence"	1527	985
"Alistipes_putredinis"	"diagnosis"	"UC"	"diagnosisUC"	-1.41760804693762	0	0.159140244629671	5.20004317905544e-19	4.40184156424277e-17	1.04000863581109e-18	5.49124559708257e-17	NA	"prevalence"	1527	873
"Parabacteroides_distasonis"	"diagnosis"	"CD:dysbiosis_generaldysbiosis"	"diagnosisCD:dysbiosis_generaldysbiosis"	-1.99323302524863	0	0.225072054575683	8.29536995858622e-19	6.48366115963099e-17	1.65907399171725e-18	8.3427720726353e-17	NA	"prevalence"	1527	1140
"Clostridium_sp_AT4"	"diagnosis"	"UC"	"diagnosisUC"	1.41371410115484	0	0.160888694740457	1.53733068876663e-18	1.15536314071154e-16	3.07466137753328e-18	1.47583746121597e-16	NA	"prevalence"	1527	528
"Gemmiger_formicilis"	"diagnosis"	"UC"	"diagnosisUC"	-1.44608862898915	0	0.164773137017995	1.69030608869922e-18	1.22328077678455e-16	3.38061217739844e-18	1.55214193884033e-16	NA	"prevalence"	1527	472
"Coprococcus_eutactus"	"age"	"age"	"age"	0.647719696483942	0	0.0739890653481756	2.05442523765491e-18	1.43369532656346e-16	4.10885047530982e-18	1.80789420913632e-16	NA	"prevalence"	1527	177
"Vescimonas_coprocola"	"diagnosis"	"CD"	"diagnosisCD"	-1.19856973216766	0	0.13889488398402	6.1712622429138e-18	4.01954880755119e-16	1.23425244858277e-17	5.2134823428136e-16	NA	"prevalence"	1527	599
"Clostridium_fessum"	"diagnosis"	"CD:dysbiosis_generaldysbiosis"	"diagnosisCD:dysbiosis_generaldysbiosis"	-2.66138279240236	0	0.308737029485091	6.6822428882979e-18	4.21196858184971e-16	1.33644857765958e-17	5.42803730003276e-16	NA	"prevalence"	1527	926
"Bacteroides_thetaiotaomicron"	"diagnosis"	"CD:dysbiosis_generaldysbiosis"	"diagnosisCD:dysbiosis_generaldysbiosis"	-2.0553733563759	0	0.239206169741156	8.51146903476675e-18	5.19731577935445e-16	1.70229380695336e-17	6.65786022275091e-16	NA	"prevalence"	1527	1062
"Lacrimispora_amygdalina"	"age"	"age"	"age"	-0.490331933828625	0	0.057651907295948	1.81528754294432e-17	1.07487026027673e-15	3.63057508588865e-17	1.36924546096372e-15	NA	"prevalence"	1527	865
"Anaerostipes_hadrus"	"diagnosis"	"CD:dysbiosis_generaldysbiosis"	"diagnosisCD:dysbiosis_generaldysbiosis"	-1.99904101843559	0	0.236691862854116	3.02091739828734e-17	1.68653502750099e-15	6.0418347965747e-17	2.12672584839429e-15	NA	"prevalence"	1527	1128
"Bacteroides_intestinalis"	"age"	"age"	"age"	0.665550440142578	0	0.0788489267970876	3.15090313204292e-17	1.7102402000033e-15	6.30180626408585e-17	2.14667981124989e-15	NA	"prevalence"	1527	158
"GGB9342_SGB14306"	"age"	"age"	"age"	0.800524276430971	0	0.0955776586526929	5.49235155188961e-17	2.90055538713306e-15	5.49235155188961e-17	1.99997353061911e-15	NA	"prevalence"	1527	92
"Candidatus_Cibionibacter_quicibialis"	"diagnosis"	"CD:dysbiosis_generaldysbiosis"	"diagnosisCD:dysbiosis_generaldysbiosis"	-2.08755092727514	0	0.250213137607436	7.23735496675463e-17	3.62610041154834e-15	1.44747099335092e-16	4.77665427805805e-15	NA	"prevalence"	1527	933
"Bacteroides_eggerthii"	"reads"	"reads"	"reads"	0.551532018671305	0	0.0667618714139595	1.4423609140159e-16	7.04593306496768e-15	2.88472182803181e-16	9.23110984970178e-15	NA	"prevalence"	1527	409
"Veillonella_dispar"	"age"	"age"	"age"	-0.5266872966269	0	0.0641886659313128	2.3001472210522e-16	1.09621650486244e-14	4.60029444210441e-16	1.42879733260655e-14	NA	"prevalence"	1527	526
"Haemophilus_parainfluenzae"	"age"	"age"	"age"	-0.473125417898677	0	0.0579837028474664	3.36059293472709e-16	1.56347585582303e-14	6.72118586945418e-16	2.02787779375532e-14	NA	"prevalence"	1527	674
