"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"Bacteroides_stercoris"	"age"	"age"	"age"	-1.38237114565766	0	0.142582059424565	3.15810351049438e-22	5.44457045209231e-19	6.31620702098878e-22	6.18988288056901e-19	NA	"prevalence"	405	243
"Phascolarctobacterium_faecium"	"age"	"age"	"age"	1.02790970735539	0	0.121298385944583	2.36651453164526e-17	2.03993552627821e-14	4.73302906329053e-17	2.31918424101236e-14	NA	"prevalence"	405	154
"Flavonifractor_plautii"	"age"	"age"	"age"	-0.977102152508208	0	0.129997369290539	5.63384784745167e-14	3.23758456300223e-11	1.1267695694903e-13	3.68078059366831e-11	NA	"prevalence"	405	309
"Clostridium_sp_AF20_17LB"	"age"	"age"	"age"	0.738972725201935	0	0.112026116948449	4.21168955895069e-11	1.81523819990775e-08	8.42337911772397e-11	2.06372788384237e-08	NA	"prevalence"	405	163
"Alistipes_communis"	"age"	"age"	"age"	0.710418663924334	0	0.113475875961491	3.83681265540732e-10	1.32293300358444e-07	7.67362530934252e-10	1.50403056063113e-07	NA	"prevalence"	405	142
"GGB9713_SGB15249"	"age"	"age"	"age"	0.669562452877709	0	0.110317635739036	1.28384697822164e-09	2.76669023806764e-07	2.56769395479502e-09	4.1939001261652e-07	NA	"prevalence"	405	151
"Bifidobacterium_longum"	"age"	"age"	"age"	-0.679735896256262	0	0.112640788028416	1.59411274550772e-09	3.05361152583923e-07	3.18822548847424e-09	4.46351568386394e-07	NA	"prevalence"	405	228
"Alistipes_SGB2313"	"age"	"age"	"age"	1.15740880726362	0	0.199388309384418	6.44437496983015e-09	1.11101024479872e-06	6.44437496983015e-09	7.89435933804194e-07	NA	"prevalence"	405	33
"Bacteroides_intestinalis"	"age"	"age"	"age"	1.11770638593513	0	0.196917313059387	1.37865572504663e-08	2.16072951816398e-06	1.37865572504663e-08	1.50120290060633e-06	NA	"prevalence"	405	38
"Dialister_invisus"	"age"	"age"	"age"	-0.639709972955733	0	0.115437326048766	2.99683452864816e-08	4.30545227282452e-06	5.99366896748615e-08	5.87379558813642e-06	NA	"prevalence"	405	181
"Clostridiales_bacterium"	"reads"	"reads"	"reads"	0.799574510360102	0	0.14841353298688	7.14535761039603e-08	9.47584347717135e-06	1.42907147102307e-07	1.27317276509328e-05	NA	"prevalence"	405	317
"Phocaeicola_sartorii"	"reads"	"reads"	"reads"	0.649860919249909	0	0.123170433953045	1.31953959139069e-07	1.62491875396968e-05	2.63907900866291e-07	1.84735530606403e-05	NA	"prevalence"	405	122
"Bacteroides_cellulosilyticus"	"age"	"age"	"age"	0.568938300959994	0	0.108933868591003	1.76250887538198e-07	2.02571020077236e-05	3.52501744012021e-07	2.30301139421187e-05	NA	"prevalence"	405	147
"Clostridium_sp_AM22_11AC"	"age"	"age"	"age"	0.594322328776183	0	0.115274663840722	2.52676465471564e-07	2.3293150805407e-05	5.05352867097731e-07	2.91321064562222e-05	NA	"prevalence"	405	231
"Coprococcus_eutactus"	"age"	"age"	"age"	0.66592490382937	0	0.129237107782816	2.56711058760286e-07	2.3293150805407e-05	2.56711058760286e-07	1.84735530606403e-05	NA	"prevalence"	405	89
"GGB16040_SGB9347"	"age"	"age"	"age"	1.39163987556613	0	0.268782562577183	2.24797554688919e-07	2.3293150805407e-05	2.24797554688919e-07	1.83584669662617e-05	NA	"prevalence"	405	22
"Oscillibacter_sp_ER4"	"age"	"age"	"age"	0.565567741542334	0	0.109478381466291	2.39128489464904e-07	2.3293150805407e-05	4.78256921747374e-07	2.91321064562222e-05	NA	"prevalence"	405	167
"Bacteroides_eggerthii"	"reads"	"reads"	"reads"	0.584940876189936	0	0.11467770636808	3.38332550210163e-07	2.9164265828116e-05	6.76664985951411e-07	3.68406492351324e-05	NA	"prevalence"	405	172
"Bacteroides_xylanisolvens"	"age"	"age"	"age"	-0.56344385535433	0	0.111373074191348	4.21312604901814e-07	3.30155877659422e-05	8.42625032299318e-07	3.96815943500136e-05	NA	"prevalence"	405	262
"Dorea_longicatena"	"age"	"age"	"age"	-0.597099833286867	0	0.117829055018094	4.03054795837396e-07	3.30155877659422e-05	8.06109429221624e-07	3.96815943500136e-05	NA	"prevalence"	405	300
"GGB1549_SGB2133"	"age"	"age"	"age"	3.34572003265065	0	0.679548004517499	8.50319878928862e-07	6.3737020490146e-05	8.50319878928862e-07	3.96815943500136e-05	NA	"prevalence"	405	20
"Faecalibacterium_SGB15346"	"age"	"age"	"age"	0.541212817517953	0	0.11088072382911	1.05529911511116e-06	7.58056531021513e-05	2.11059711656609e-06	8.99297901841204e-05	NA	"prevalence"	405	210
"Dysosmobacter_welbionis"	"reads"	"reads"	"reads"	0.726871630077416	0	0.149268268140072	1.11843825370419e-06	7.71275019754409e-05	2.23687525650425e-06	9.13390729739236e-05	NA	"prevalence"	405	325
"GGB1543_SGB2126"	"age"	"age"	"age"	2.96145861671491	0	0.60998179466365	1.20389727795312e-06	7.9827650276584e-05	1.20389727795312e-06	5.36281514724573e-05	NA	"prevalence"	405	20
"Ruminococcus_bicirculans"	"age"	"age"	"age"	0.576995947340248	0	0.120252622049324	1.60099096971035e-06	0.000102226238214098	3.20197937624861e-06	0.000125517591548945	NA	"prevalence"	405	249
"Proteus_mirabilis"	"age"	"age"	"age"	29.3672565109038	-0.120473416155437	4.94031134973371	2.84158897301268e-06	0.000168927565154271	5.68316987139746e-06	0.000198910945498911	NA	"abundance"	405	33
"Bacteroides_thetaiotaomicron"	"age"	"age"	"age"	0.767163113729848	0	0.163775603280342	2.8100996909901e-06	0.000168927565154271	5.62019148531992e-06	0.000198910945498911	NA	"prevalence"	405	308
"Alistipes_putredinis"	"age"	"age"	"age"	0.731305414475304	0	0.158524203256745	3.96497642065238e-06	0.000213613104662647	7.92993712026674e-06	0.00025904461259538	NA	"prevalence"	405	314
