feature	Phocaeicola_vulgatus	Faecalibacterium_prausnitzii	Bacteroides_uniformis	Prevotella_copri_clade_A	Bacteroides_stercoris	Phocaeicola_dorei	Bacteroides_ovatus	Bacteroides_fragilis	Eubacterium_rectale	Alistipes_putredinis	Bacteroides_caccae	Parabacteroides_distasonis	Bacteroides_xylanisolvens	Roseburia_faecis	Bacteroides_thetaiotaomicron	Roseburia_intestinalis	Phocaeicola_massiliensis	Alistipes_onderdonkii	Parabacteroides_merdae	Akkermansia_muciniphila	Escherichia_coli	Bacteroides_eggerthii	Sutterella_wadsworthensis	Dialister_invisus	Bacteroides_faecis	Bacteroides_cellulosilyticus	Lachnospira_eligens	Faecalibacterium_SGB15346	Eubacterium_siraeum	Barnesiella_intestinihominis	Alistipes_finegoldii	Phascolarctobacterium_faecium	Prevotella_sp_885	Flavonifractor_plautii	Lachnospira_pectinoschiza	Veillonella_parvula	Enterocloster_bolteae	Dysosmobacter_welbionis	Candidatus_Cibionibacter_quicibialis	Firmicutes_bacterium_AF16_15	Ruminococcus_bicirculans	Clostridium_sp_AF34_10BH	Odoribacter_splanchnicus	Alistipes_shahii	Ruminococcus_bromii	Bacteroides_finegoldii	Anaerostipes_hadrus	Prevotella_copri_clade_B	Roseburia_inulinivorans	Prevotella_marseillensis	Bacteroides_caecigallinarum	Phocaeicola_coprocola	Fusicatenibacter_saccharivorans	Ruminococcus_gnavus	Dysosmobacter_sp_BX15	Faecalibacterium_SGB15315	Alistipes_SGB2313	Ruminococcus_torques	Waltera_intestinalis	Blautia_wexlerae	Phocaeicola_plebeius	Ruminococcus_sp_BSD2780120874_150323_B10	Oscillibacter_sp_ER4	Parasutterella_excrementihominis	Acidaminococcus_intestini	Veillonella_dispar	Klebsiella_pneumoniae	GGB3746_SGB5089	GGB1266_SGB1699	Dorea_longicatena	GGB1543_SGB2126	Coprococcus_eutactus	Paraprevotella_clara	Prevotella_copri_clade_E	GGB3278_SGB4328	Roseburia_hominis	GGB1680_SGB2312	GGB3277_SGB4327	Clostridium_sp_AF36_4	Clostridium_fessum	Lacrimispora_amygdalina	Akkermansia_sp_KLE1798	Bifidobacterium_longum	Clostridiales_bacterium	Clostridiaceae_bacterium	Clostridium_sp_AM22_11AC	GGB9708_SGB15234	Bifidobacterium_adolescentis	Alistipes_dispar	Enterocloster_clostridioformis	Eisenbergiella_massiliensis	Eubacterium_ventriosum	Lachnospira_sp_NSJ_43	Prevotella_stercorea	GGB9342_SGB14306	Hungatella_hathewayi	GGB781_SGB1024	Blautia_obeum	Haemophilus_parainfluenzae	Blautia_faecis	Bilophila_wadsworthia	Clostridium_leptum	Parasutterella_SGB9260	Clostridium_symbiosum	Ruthenibacterium_lactatiformans	Clostridium_sp_AF20_17LB	GGB9713_SGB15249	GGB51647_SGB4348	Roseburia_sp_AF02_12	GGB1549_SGB2133	Clostridium_sp_AT4	GGB6601_SGB9333	GGB4237_SGB5728	Phocaeicola_sartorii	Proteus_mirabilis	Clostridium_sp_1001270H_150608_G6	Alistipes_communis	Dysgonomonas_mossii	GGB33469_SGB15236	Vescimonas_coprocola	Rikenellaceae_bacterium	Bacteroides_salyersiae	Ruminococcus_lactaris	GGB3304_SGB4367	Bacteroides_intestinalis	Phascolarctobacterium_succinatutens	Bacteroides_mediterraneensis	Collinsella_aerofaciens	GGB33512_SGB15201	GGB3175_SGB4191	Clostridium_sp_AM49_4BH	GGB16040_SGB9347	Collinsella_SGB14861	Veillonella_rogosae	Butyrivibrio_crossotus	GGB9453_SGB14844	Lacrimispora_celerecrescens	Coprococcus_comes	Tyzzerella_nexilis	Oscillospiraceae_bacterium	Clostridiaceae_bacterium_Marseille_Q4149	GGB3267_SGB4317	GGB9480_SGB14874	GGB3478_SGB14857	Gemmiger_formicilis	GGB58485_SGB80143
CSM67UH7	0.115267008458529	0.0137514795888748	0	0	0	0	0.0024068939202912	0.00827306773780554	0.00851403410266784	0.00158993485155807	0.0168323038068476	0.00165208755532255	0	0.00103997759400569	0.0269247506912134	0	0.038086755868168	0.00896694007947569	0	0.445103319729905	0	0	0	0	0	0.00247347818938649	0.00288960217394869	0.00467164538259697	0.00016319239330674	0	0	0.108930645559416	0	0	0.00307594949610886	0	0	0	0.0366781828277729	0.0320223802912336	0.000473401966462798	3.4123053047166e-05	0	0	0	0	0.0074073614504336	0	0.00354968382997147	0	0	0	0.00141787932758973	0	0	0.000499105045381444	0.0183967571577535	0.00588101956137252	0.00477013692207402	0.00264032662409114	0	0	0	0.0263272648954882	0	0	0.000310320362289328	0.00021326908154479	0	0.000774637619823986	0.0084709371298258	0	0	0	0	9.64973350781875e-05	0	0	0.00206089945708893	0.000555939870748964	0	0	0	0	0.00600421707756879	0.00359178370061408	0	0	0	0	0.00303396041459952	0	0.00059028450206267	0	0	0	0	0.000156101888777459	0.000712041759526424	0.00136879974155111	0.000721680414120916	0.000135384320855966	0	0	0.000372362276920539	2.65893919847923e-06	0	0	0.00134176719303322	0.00138021102227792	0	0	0	0	0	0	0	0	0	0.000602914463255453	0	0	0	0	0	0	0	0	0	0	9.15118240810363e-05	0	0.0154380225646443	0	0	0	0	0.00126310690841151	0	0	0	0	0	0	0	0
CSM6J2H9_P	0.201702489179007	0.203202933584031	0.101080213449195	0	0.093507773582461	2.41305895331282e-05	0.000317502036154362	0.00462405139337307	0.0118317063120296	0.066698145129409	0.0081007041240808	0.00642678034565656	0.0327865146091698	0.0470492147721382	0.00212860060732998	0.00673091273085338	0	0.0162192344494383	0.0161018423922501	0	0	8.44570633659486e-05	0	0	0	0.00732515567219398	0.00134598689274203	0.0111412671016042	0	0.0196396911675847	0	0.000199240408172182	0	0.000901092735268628	0	0	4.53263776365513e-05	0.00234360198614317	0.00084761413143845	0.008444836765801	0.00848614137851536	0.00572134103903492	0	0.00129663875018329	0.00627036629908822	0	0.00210468741049535	0	0.00697460994586813	0	0	0	0.00374980665636877	0.000123696445444596	0	0.000803483413643631	0	0.00031043677345322	0.00031565419821714	0.000490655320506946	0	0	0	0	0.00214175286558903	0	0	0.000251849441208372	0	0.00057869936339809	0	0	0	0	0	0.00761167924881257	0	0	0.00839929299546595	0.00133446507972171	0.00433100603579958	0	0.000216197038654921	0.000767287529343937	0.00561775341820127	0.000600764722295501	0.00104207190024371	6.20656154207934e-05	0	0	3.35871719177327e-05	0.00387393788721036	0.00039880690539211	0	0	0	0	0.000163479309269482	4.02176492218711e-06	0.000747939579177736	0.00117076837775373	0.00304393256435014	0	0	6.73917365339514e-06	0	0.000249023336127916	0	2.77175690583227e-05	0	1.51087925455162e-05	0	0	1.77175049274771e-05	0	0	0.00539894766716439	0	0.00121402952475456	0.000664460782955021	0	0.0135858479961991	0.0134089990359721	0	0	0	0	2.30436260406447e-05	0	0	0.0153459679795773	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000105544155120125	4.69568228752759e-05
CSM79HGR_P	0.103311935526458	0.0186897411823679	0	0	0	4.59050977443505e-05	0.00236293977586249	0.00580961960869199	0.00420495162987669	0.028931157320009	0.0133127017283325	0.0094979992749005	0	0.00223583514999128	0.0364910902784619	0.00675664959354442	0.0895196316333704	0.0688377655766272	0	0.0278847221356615	0	0	0	0	1.65303028373815e-05	0.00711584860655131	0.00817490490049762	0.00556602102431138	0.00184033648548338	0	0	0.00395375804148972	0	0	0.00518515391163927	0	0	0.000133582717523706	0.000276770881290757	0.00121252005136903	0.00430860109631649	0.00106944357883737	0	0	0	0	0	0	0.00246335019647605	0	0	0	4.09906833872905e-05	0	0.00943221313725713	0.00143411546237826	0.0305277835298764	3.54061216179043e-05	0.0453191655235069	0	0	0	0.00726082383008457	0.00290899822567303	0	0	0	3.01566335546819e-05	0	2.25616295483181e-05	0.388074436400441	0	0	0	0.000683326978102039	0.000543601242632007	0	0	0.0023065357019917	0.000507413282366389	0.000548739039459843	0	0	0.00022036680741996	0.00051757718478667	0.000144528458591702	1.40730956588508e-05	0	0	0	0	0	0.00575980531770907	0	0	0	0	0	0.000437494569013678	0.000100633803084331	0.000304246925196135	0	0	0	2.68058964930378e-06	0.000772009818999884	0.00149241828725064	0	0.0184063805181892	0.0146615967781099	0	0	0	1.02755936556689e-05	0	0	0	0	0	0.000154692361011985	0	0	0	0	0	0	0	0	0	0	0.00772344892706048	0	0.000222712323363103	0	0	0	0	0.000169323912847775	0	0	0	0	0	0	0	0
CSM79HGV_P	0.103654635307489	0.0476954514876469	0.0042225744139878	0.0122720876165733	0.000860884557300505	0.000691175753980667	0.00813800648163168	0.00475205744236915	0.0259070139203409	0.0212012598742784	0.0276219271789967	0.00729768949216671	0.000442571869937873	0.00438057552484741	0.0275083309197205	0.0338059092415461	0.0847826788592615	0.0255937540409997	0.000144922247210351	0.00272641569733653	0	0	0.00029311421033302	0	8.33250184106025e-06	0.0695913677812319	0.0176865262179534	0.00790722782304635	0.000711848796523046	0	0	0.003759013077387	0	0	0.00616584041297145	1.48719336656904e-05	0	0.000269593350705721	0.000187323079363599	0.000622828143942597	0.00716046689855632	0.00232181472186425	1.68759530958109e-06	0	0	0.000294379906815206	0	0	0.00544829598227856	0	0	0.000131632434147393	0.000473054060217197	0	0.00696966315386671	0.00197965477284651	0.0327803786668545	0.00214546101201294	0.0174340197697571	0.000228141790914112	0.000222973530278518	0	0.00511805467513474	0.00156745961848111	0	0	0.00140481762052015	5.67453922846934e-05	0	0.00014217990483228	0.311305327548538	0	0	0	0.00622986356002871	0.000305560225741186	0	0	0.00304189054552151	0.000678835213279349	0.000634430361695974	0	1.64540542684238e-05	0.000206624950716943	0.00089969924942089	0.000295223704469996	0	0	0	0	0	0	0.00586861268907132	0	0	0	0	5.85384623011247e-05	4.25063068600956e-05	0.000968574232993205	0.000163696745029451	3.58614003286139e-06	0	0	0	0.00129195968419185	0.000300602914519289	0	0.00967709340397045	0.0186609015598232	0	0	0	1.42390854245978e-05	0	0	0	0	0	0.000277714903133083	0	4.64088710134988e-06	0	0	6.40231470572651e-05	0	0	0	0	0	0.00135345143828474	0	0.000718704652468224	0	0	0	8.01607772051332e-06	0.000110537492777619	0	0	0	0	0	0	0	0
CSM79HGX	0.356437249506654	0.154738542597201	0.0356394565250842	0	0.0873897428784745	0	0.00833249370064699	0	0.017541648240418	0.0226233933329933	0.0252634935998911	0.0304473647267428	0.0188567448923282	0.0125198718924281	0.00644258240380023	0	0	0.00430162444684366	0.00874184098354643	0	0	0	0.00945809333539623	0	0	0	0.0275634899322069	0	0.0137181928518943	0	0	0.024364067824334	0	0.00347913572497259	0	0	0.000245039246328838	0.00273474338225406	0.00579736508507974	0	0	0	0.00193607352905839	0	0	0.0349136133898297	0	0	0	0	0	0	0.00421910155227356	0.00503157791784303	0	0	0	0.00214043099083543	0	0.00896190203573336	0	0	0.00270691957105801	0	0.00528315154407397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00516901068223564	0	0	0	0.00285594559011563	0	0.0106379704806226	0	0	0	0	0.00209995999273208	0.000550890383036919	0	0	0	0	0	0	0	0.000535819151972391	0	0.000251889805903623	0	0	0.000275814067803255	0.00282306290415667	0	0	0	0	0.00383715650767326	0	0	0	0	0	0	0	0	0	0	0.002181007382163	0	0	0.00672166366155453	0	0	0.00580042148858233	0	0	0	0	0	0	0	0.000953703286034259	0.00394139040643421	0.00936049920976161	0	0	0	0	0	0	0.00017484735899335	0
CSM79HGZ	0.10898219551406	0.0245165235258212	0	0	0	0	0.00289570061640833	0.00429218356416407	0.017944510355144	0.0414048865619546	0.0197058305178002	0.00552188378510819	0	0.00282606452944059	0.024121274254421	0.00723549033261978	0.117659518221443	0.0835563192599661	0	0.0355323506907728	0	0	0	0	0	0.0242980510492697	0.00619084156500658	0.00816053267308007	0.000431034482758621	0	0	0.00561043337717828	0	0	0.00470924784429027	0.000259630842768593	0	0.00023523671971045	0.00173058571686483	0.00335521281991764	0.00413679192565273	0	0	0	0	0	0	0	0.00190306398782658	0	0	0	0.00120756282292661	0	0.00920550382998478	0.00257857701665248	0.0713688219465436	0.00029004289926839	0.0237396727963617	3.22389291517186e-06	0	0	0.0142076960771671	0.00349469992004746	0	3.08419088884864e-05	0	0.000117134775917949	0	7.33972953687697e-05	0.243316869986847	0	0	0	0.00251098272853102	0.000191284312966926	0	0	0.00242049880071183	0.00103089349117513	0.00030723699481598	0	0	0.000309816109148118	0.0014461308986494	0.00014948116816685	0	0	0	0	0	0	0.00488505747126437	0	0	0	0	0	0.000405135876340064	0.000477136151445592	0.000458867424926279	0	0	0	0	0.00110805199494494	0.00126688245256579	0	0.016195118596274	0.0360625736122216	0	0	0	0	0	0	0	0	0	0.00135328278269242	0	0	0	0	0	0	0	0	0	0	0.00169587513647813	0	0.000769113386463089	0	0	0	0	0.000107140707880912	0	0	0	0	0	0	0	0
CSM79HOV	0.306085255119941	0.0628836220771243	0.0614161085975215	0	0.0129142492499962	0	0.000112123646909791	0	0.00103327927812401	0.0484743182963911	0.0220654982802083	0.027156129565732	0.0523343109136477	0.00495379689312994	0.0180165283318494	0.0010738832784127	0	0.00145858713101387	0.00313336607053535	0	0	0	0	0	0	0.0196525538555458	0.0097224264819943	0	0.016142321701902	0.0168839706401509	0.0133515314729444	0.00290803019761956	0	0	0	0	0	0.000211619776303527	0.00129388511375706	0	0	0.020000463734695	0.00704756992678326	0.0137741178780937	0.00312465743776566	0	0	0	0	0	0	0	0.000202257996076107	0	0.0160381446823945	0	0	0.00037109661389852	6.17224347551945e-05	0	0	0	0.00334934016322373	0.0035441958214456	0	0	0	0.000159912269233478	0	0	0	0	0	0	0.000138684976857352	0.000340725257114217	0	0	0.00652940627698655	0.000193549363306415	0	0	0	0	0.000113429941825244	0	0.0242641014808268	0	0	0	0	0	0	0	0.00853652841458143	0	0	0.00027312449523948	0.00117620971345659	0.00053503662578798	0	0	0	0	0	0	0.00449909740464237	0	0	0.0941205081008246	0	0	0	0	0	0.0647898329325004	0	0	0	0	0	0	0	0	0.00412168703198583	0	0	0	0.00538705137342214	0.00532021261691475	0.00870993906460793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSM79HOX	0.0736932175408073	0.0322094116454338	0	0	0	0	0.00303238092040679	0.00402189701942511	0.01049593862173	0.0168074168649104	0.00955302696398239	0.00275938049665977	0	0.00349544353236927	0.0183515479024633	0.00972519834772899	0.0510021556210644	0.0364696318503145	0	0.00700082640055457	0	0	0	0	0	0.0403580104586109	0.0051717677362754	0.00945065180507726	0.000333078186901699	0	0	0.00276887808421732	0	0	0.00210868531190354	0	0	1.92160492443283e-05	0.00056212465892893	0.00115053333923803	0.00343415096150374	0.000141911628040014	0	0	0	0	0	0	0.001614037699459	0	0	0	0.000358699585894138	0	0.0109557985588184	0.000750640728239673	0.0244515391668915	0.000195584041446588	0.0166827334189515	2.88240738664931e-05	0	0	0.0075287155694505	0.00153949268083876	0	0	0	0	0	1.76699303396034e-06	0.521673439587778	0	0	0	0.00142154589582185	0.00030182449761351	0	0	0.00602975329132823	0.000431367174415795	0.000279626647624372	0	0	0.000134291470581056	0.000812485484428317	3.05910669004535e-05	0	0	0	0	0	0	0.00414448216115617	0	0	0	0	1.61238114348963e-05	0.000125787816605117	0.000476425496781809	3.86529726179016e-05	0	0	0	0	0.000728442878250535	0.00140288203190063	0	0.0166879239609888	0.0345930852482476	0	0	0	0	0	0	0	0	0	0.000201878954130074	0	0	0	0	0	0	0	0	0	0	0.00174446387277827	0	0.00041358680701156	0	0	0	0	8.70244069225919e-05	0	0	0	0	0	0	0	0
CSM79HOZ	0.112498040929446	0.0437648948395089	0	0	0	0	0.00278899159952743	0.00555854350806028	0.014195147919025	0.0429243753187093	0.0135630833897945	0.00648396066241241	0	0.00168411424695415	0.0414030272980488	0.0049723874016305	0.0832561328655653	0.0691598308329534	0	0.0262109637001662	0	0	0	0	0	0.0296381702396343	0.00415240585945235	0.00808032172798425	0.00463905710689293	0	0	0.0042007305150321	0	0	0.00369463957659694	0	0	0.000361446457983963	0.000490275596609058	0.0024056892177699	0.0126610597618934	0.000141129960045393	0	0	0	0	0	0	0.00190541920375685	0	0	0	0.000328717486704953	0	0.00437239287110288	0.00154364325948484	0.0817904680275841	1.52661980126919e-05	0.0485219080375215	0	0	0	0.0132140475819935	0.00476557984150172	0	0	0	0	0	0	0.247161283428169	0	0	0	0.00150300661729278	0.000375724197132523	0	0	0.0021404527558947	0.00110443803752256	0.000550461758558378	0	0	0.000643376891786708	0.000651723877750482	1.98790060453043e-05	0	0	0	0	0	0	0.00216395611110849	0	0	0	0	8.18224281975233e-05	0	0.000232727148121548	0.000935521400518809	0	0	0	0	0.000735852709964313	0.00132585282308794	0	0.0061023057120951	0.0339597123936157	0	0	0	0	0	0	0	0	0	0.000563421552554765	0	0	0	0	0	0	0	0	0	0	0.00372253608231798	0	0.000487639706304709	0	0	0	0	0.000152442322601561	0	0	0	0	0	0	0	0
CSM79HP2	0.0838478982534896	0.0469587962198351	0	0	0	0	0.00436998075039318	0.00553455726441245	0.0116463020588252	0.0274518979966277	0.0224277355843253	0.00346269564509592	0	0.00179148270939451	0.0194364544986157	0.011905848525804	0.0883512495922103	0.047752898877389	0	0.0100776405819425	0	0	0	0	0	0.0199015334181378	0.0017895498023173	0.0157432059926992	0.0106536468909512	0	0	0.0018262750367843	0	0	0.00377013525409889	0	0	0.000212619778493144	0.000625188055751053	0.000637000265667339	0.0090884216933168	0.00231819988793434	0	0	0	0	0	0	0.00286263538134861	0	0	0	0.000489132874260743	0	0.00398286241631855	0.00173972375321587	0.0533464098076564	6.19604101972436e-05	0.0367667919691577	3.62956995609507e-05	0	0	0.00810736396790601	0.00191314847153225	0	0	0	8.53700625767923e-05	0	0	0.363909704031121	0	0	0	0.00387053903838732	0.000333211703365771	0	0	0.00102637365799872	0.000311842341789944	0.000174069020675447	0	0	0.000199841115038253	0.000359950251267181	2.60942455423393e-05	2.22284313879192e-05	0	0	0	0	0	0.0037436114736505	0	0	0	0	8.05377948837554e-06	3.17855830474597e-05	0.000381104845389984	0.000205639836269884	0	0	0	0	0.000594261542515686	0.00164973619039908	0	0.00379397444138449	0.0420932395715905	0	0	0	0	0	0	0	0	0	0.000180619427992661	0	0	0	0	0	0	0	0	0	0	0.0159500270499607	0	0.000124779890206583	0	0	0	0	3.64030832874616e-05	0	0	0	0	0	0	0	0
