"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"Phocaeicola_sartorii"	"reads"	"reads"	"reads"	1.55951353409454	0	0.184725834707205	3.1111576308074e-17	3.37871718705684e-14	6.22231526161483e-17	3.62138748225983e-14	NA	"prevalence"	685	205
"Faecalibacterium_prausnitzii"	"dysbiosis_state"	"dysbiosis_CD"	"dysbiosis_statedysbiosis_CD"	-4.8871884642326	0	0.692345481277849	1.67841578904678e-12	9.11379773452403e-10	3.35683157809074e-12	9.76837989224405e-10	NA	"prevalence"	685	573
"Bacteroides_eggerthii"	"reads"	"reads"	"reads"	1.61400943707461	0	0.246210782416267	5.54940224878807e-11	2.00888361406128e-08	1.10988044972681e-10	2.15316807247002e-08	NA	"prevalence"	685	119
"Blautia_faecis"	"dysbiosis_state"	"dysbiosis_CD"	"dysbiosis_statedysbiosis_CD"	-2.56274815912588	0	0.40006591104329	1.49568370874811e-10	4.06078126925112e-08	2.9913674172725e-10	4.35243959213149e-08	NA	"prevalence"	685	469
"Bacteroides_uniformis"	"dysbiosis_state"	"dysbiosis_CD"	"dysbiosis_statedysbiosis_CD"	-3.47554673333928	0	0.556380985659394	4.19207272833974e-10	7.58765163829494e-08	8.38414545492214e-10	8.13262109127447e-08	NA	"prevalence"	685	553
"Dysosmobacter_welbionis"	"dysbiosis_state"	"dysbiosis_CD"	"dysbiosis_statedysbiosis_CD"	-2.86797528132257	0	0.457823765354046	3.74347132037201e-10	7.58765163829494e-08	7.48694263934264e-10	8.13262109127447e-08	NA	"prevalence"	685	524
"Fusicatenibacter_saccharivorans"	"dysbiosis_state"	"dysbiosis_CD"	"dysbiosis_statedysbiosis_CD"	-2.49171690638375	0	0.400909798475133	5.12737114079104e-10	7.95475008414152e-08	1.02547422789531e-09	8.52608572335811e-08	NA	"prevalence"	685	484
"Parabacteroides_distasonis"	"dysbiosis_state"	"dysbiosis_CD"	"dysbiosis_statedysbiosis_CD"	-3.27178527626914	0	0.532531394190657	8.05522738896288e-10	1.09349711805171e-07	1.6110454771437e-09	1.17203558462204e-07	NA	"prevalence"	685	484
"Clostridium_fessum"	"dysbiosis_state"	"dysbiosis_CD"	"dysbiosis_statedysbiosis_CD"	-3.59200789077878	0	0.591841995300723	1.28548366392683e-09	1.39603525902454e-07	2.57096732620118e-09	1.49630298384909e-07	NA	"prevalence"	685	391
"Clostridium_sp_AF34_10BH"	"dysbiosis_state"	"dysbiosis_CD"	"dysbiosis_statedysbiosis_CD"	-3.30027688101065	0	0.542641801250528	1.18788882190913e-09	1.39603525902454e-07	2.37577764240717e-09	1.49630298384909e-07	NA	"prevalence"	685	377
"Eubacterium_rectale"	"dysbiosis_state"	"dysbiosis_CD"	"dysbiosis_statedysbiosis_CD"	-2.82101624854131	0	0.469404207035937	1.85774681857822e-09	1.83410276815995e-07	3.71549363370521e-09	1.96583390437858e-07	NA	"prevalence"	685	514
"Phocaeicola_dorei"	"reads"	"reads"	"reads"	0.827662975624539	0	0.139453622619658	2.9377197730849e-09	2.65863639464183e-07	5.87543953753958e-09	2.8495881757067e-07	NA	"prevalence"	685	310
"Clostridiales_bacterium"	"dysbiosis_state"	"dysbiosis_CD"	"dysbiosis_statedysbiosis_CD"	-3.88157702708863	0	0.668337168483544	6.32943033209567e-09	5.28750872358146e-07	1.26588606241296e-08	5.66727452557187e-07	NA	"prevalence"	685	407
"Clostridium_sp_AT4"	"dysbiosis_state"	"dysbiosis_CD"	"dysbiosis_statedysbiosis_CD"	3.06589351579884	-0.594461452578271	0.593407844024312	1.89306477206096e-08	1.46847738747015e-06	3.78612950828498e-08	1.46901824921457e-06	NA	"abundance"	685	229
