feature	Phocaeicola_vulgatus	Faecalibacterium_prausnitzii	Bacteroides_uniformis	Prevotella_copri_clade_A	Bacteroides_stercoris	Phocaeicola_dorei	Bacteroides_ovatus	Bacteroides_fragilis	Eubacterium_rectale	Alistipes_putredinis	Bacteroides_caccae	Parabacteroides_distasonis	Bacteroides_xylanisolvens	Roseburia_faecis	Bacteroides_thetaiotaomicron	Roseburia_intestinalis	Phocaeicola_massiliensis	Alistipes_onderdonkii	Parabacteroides_merdae	Akkermansia_muciniphila	Escherichia_coli	Bacteroides_eggerthii	Sutterella_wadsworthensis	Dialister_invisus	Bacteroides_faecis	Bacteroides_cellulosilyticus	Lachnospira_eligens	Faecalibacterium_SGB15346	Eubacterium_siraeum	Barnesiella_intestinihominis	Alistipes_finegoldii	Phascolarctobacterium_faecium	Prevotella_sp_885	Flavonifractor_plautii	Lachnospira_pectinoschiza	Veillonella_parvula	Enterocloster_bolteae	Dysosmobacter_welbionis	Candidatus_Cibionibacter_quicibialis	Firmicutes_bacterium_AF16_15	Ruminococcus_bicirculans	Clostridium_sp_AF34_10BH	Odoribacter_splanchnicus	Alistipes_shahii	Ruminococcus_bromii	Bacteroides_finegoldii	Anaerostipes_hadrus	Prevotella_copri_clade_B	Roseburia_inulinivorans	Prevotella_marseillensis	Bacteroides_caecigallinarum	Phocaeicola_coprocola	Fusicatenibacter_saccharivorans	Ruminococcus_gnavus	Dysosmobacter_sp_BX15	Faecalibacterium_SGB15315	Alistipes_SGB2313	Ruminococcus_torques	Waltera_intestinalis	Blautia_wexlerae	Phocaeicola_plebeius	Ruminococcus_sp_BSD2780120874_150323_B10	Oscillibacter_sp_ER4	Parasutterella_excrementihominis	Acidaminococcus_intestini	Veillonella_dispar	Klebsiella_pneumoniae	GGB3746_SGB5089	GGB1266_SGB1699	Dorea_longicatena	GGB1543_SGB2126	Coprococcus_eutactus	Paraprevotella_clara	Prevotella_copri_clade_E	GGB3278_SGB4328	Roseburia_hominis	Prevotella_copri_clade_C	GGB1680_SGB2312	Bacteroides_ilei	GGB3277_SGB4327	Clostridium_sp_AF36_4	Clostridium_fessum	Lacrimispora_amygdalina	Akkermansia_sp_KLE1798	Bifidobacterium_longum	Clostridiales_bacterium	Clostridiaceae_bacterium	Clostridium_sp_AM22_11AC	GGB9708_SGB15234	Bifidobacterium_adolescentis	Alistipes_dispar	Enterocloster_clostridioformis	Eisenbergiella_massiliensis	Eubacterium_ventriosum	Lachnospira_sp_NSJ_43	Prevotella_stercorea	GGB9342_SGB14306	Hungatella_hathewayi	GGB781_SGB1024	Blautia_obeum	Haemophilus_parainfluenzae	Blautia_faecis	Bilophila_wadsworthia	Clostridium_leptum	Parasutterella_SGB9260	Clostridium_symbiosum	Ruthenibacterium_lactatiformans	Clostridium_sp_AF20_17LB	GGB9713_SGB15249	GGB51647_SGB4348	Roseburia_sp_AF02_12	GGB1549_SGB2133	Clostridium_sp_AT4	GGB6601_SGB9333	GGB4237_SGB5728	Phocaeicola_sartorii	Proteus_mirabilis	Clostridium_sp_1001270H_150608_G6	Alistipes_communis	GGB33469_SGB15236	Vescimonas_coprocola	Rikenellaceae_bacterium	Bacteroides_salyersiae	Ruminococcus_lactaris	GGB3304_SGB4367	Bacteroides_intestinalis	Phascolarctobacterium_succinatutens	Bacteroides_mediterraneensis	Collinsella_aerofaciens	GGB33512_SGB15201	GGB3175_SGB4191	Clostridium_sp_AM49_4BH	Lactobacillus_acidophilus	GGB16040_SGB9347	Collinsella_SGB14861	Veillonella_rogosae	Butyrivibrio_crossotus	GGB9453_SGB14844	Lacrimispora_celerecrescens	Coprococcus_comes	Tyzzerella_nexilis	Oscillospiraceae_bacterium	Clostridiaceae_bacterium_Marseille_Q4149	GGB3267_SGB4317	GGB9480_SGB14874	GGB3478_SGB14857	Gemmiger_formicilis	GGB58485_SGB80143
CSM5FZ3N_P	0.42652263580693	0.0602551091168419	0.269241131409233	NA	NA	0.00016113286956439	NA	0.00848646902758382	NA	NA	0.0260116853391531	NA	NA	0.0445176609588605	0.0571649364533538	NA	NA	NA	NA	NA	NA	NA	NA	0.0123993708164793	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00485322274530075	NA	NA	0.00427188265555656	0.00205439237549874	NA	NA	0.00665391876069586	NA	NA	NA	NA	NA	0.000544624962211859	NA	NA	NA	NA	NA	0.00651895188342916	0.00238886201617348	NA	NA	NA	0.00588993383934019	NA	0.000134242917005506	NA	NA	NA	NA	NA	NA	NA	0.0016505259726432	NA	0.00244160769234667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0100589107149118	0.0107693225769386	NA	NA	NA	0.0038121678896941	0.00374039240094078	NA	NA	NA	NA	0.0147295920514955	0.000134760031477791	NA	NA	NA	NA	8.5841002399514e-06	NA	0.00162322232850648	NA	NA	NA	NA	NA	0.000147274201707119	0.000503152381534504	NA	NA	NA	NA	NA	0.00361783627100894	NA	NA	2.43043801974525e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00384412556408139	NA	NA	0.0048240574890638	NA	NA	NA
CSM5FZ3R_P	0.536958442058456	0.0073969042849551	0.252604846907836	NA	0.00839095756101577	2.95356678800023e-05	0.000300174553702442	0.00581328975181451	5.01687408316354e-05	0.000691574521317944	0.0136469448703143	0.000436331887901038	3.01640863455339e-05	0.00549112055181844	0.0762602565748806	NA	NA	4.50366566964515e-06	0.000228849057864563	NA	NA	NA	9.5310133939008e-06	0.0195990103666005	5.75002895961754e-05	3.55056433025566e-05	7.0592340961425e-05	NA	0.000272419404808113	NA	NA	NA	NA	0.0113907131062327	NA	NA	0.00178229950465962	0.00444836484467905	0.000171662977501152	NA	0.00104432675330323	NA	NA	NA	NA	NA	0.00369122533012393	NA	0.00036354008231025	NA	NA	NA	0.00865866382733239	0.000149982540440299	NA	NA	NA	0.00354543224612051	NA	0.000344792264755212	NA	NA	NA	NA	NA	NA	NA	0.0026164202812424	NA	0.000870987993227324	NA	NA	NA	NA	NA	0.000540963562412113	NA	NA	NA	NA	0.00172375185095422	0.00459174899123126	NA	NA	0.000478331188680759	0.00474560677887567	0.00101793317775089	NA	NA	NA	NA	0.00913112977700152	0.00103060628347245	NA	NA	NA	NA	NA	NA	0.000395484687641459	NA	NA	NA	0.000247492139008677	NA	NA	0.00204571157812844	NA	NA	NA	NA	NA	0.00392897698291686	NA	NA	4.08472002595781e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000818724524177248	NA	NA	0.00180565572429522	NA	NA	NA
CSM5FZ3T_P	0.591182063593237	NA	NA	NA	NA	0.00319668436923563	NA	0.102828018127498	0.000498425945520354	NA	NA	NA	0.085289760768218	0.0017321357594005	0.136325832022853	NA	NA	NA	NA	NA	NA	NA	NA	0.0235126103876191	6.95895546817603e-05	NA	NA	NA	NA	NA	NA	NA	NA	0.00378391883598112	NA	NA	0.0249591016168008	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000126401664573699	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.98326302570736e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00031478977618563	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000446788172774707	0.0255708349859533	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.32117892097535e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CSM5FZ3V_P	0.266137834698968	0.0296803292360702	0.400426526027708	NA	NA	0.00798082056782549	0.00175403833254001	0.0961376695735912	NA	0.000803610167224143	0.0280441521326421	6.32980611169702e-05	NA	0.0128207889499055	0.101322486749885	NA	NA	1.8307378735153e-05	NA	0.00892730008282593	0.000383497704876917	NA	NA	0.0214055137038507	4.33154973995139e-05	NA	NA	NA	NA	NA	NA	1.86663469456464e-05	NA	0.00191114675266588	NA	1.28031995075901e-05	0.00107391322972553	0.000975555940050393	0.000203295663209324	NA	0.000569203925772074	NA	NA	NA	NA	NA	0.00375660232281149	NA	0.000646501747098279	NA	NA	NA	0.00110239137442466	0.000120613318725719	NA	NA	NA	0.000760653638035122	NA	0.000359566490844037	NA	NA	NA	NA	0.000585955775595091	NA	NA	0.0010491444232015	NA	0.000430642196521694	NA	NA	NA	NA	NA	0.000291960811201147	NA	NA	NA	NA	0.000213346773103133	0.00283860095251018	NA	NA	NA	0.00212497215004967	0.000716261236004128	NA	NA	NA	NA	0.00119428723631093	1.51963209108788e-05	NA	NA	NA	NA	NA	NA	0.000492265072656362	NA	NA	NA	0.000142749691706134	NA	NA	0.000311823718848439	NA	NA	NA	NA	NA	0.000531990887950945	NA	NA	3.79309742421159e-05	NA	NA	NA	NA	NA	NA	2.8717456839457e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000130185804338872	0.00140356570302847	NA	NA	NA
CSM5FZ3X_P	0.660103850328047	0.00359674003677604	0.000880428339630421	1.30810202720135e-05	0.00133566946661761	0.00251933963982654	NA	0.17287281799663	0.00370106387613549	0.000498916599630942	NA	0.000167566788608442	0.0479487500760807	0.000991238635323099	0.0519231099790563	0.000216107103502112	NA	3.11349903995034e-05	0.00103740058289459	NA	0.0111746507556776	NA	NA	7.43780326210363e-05	0.00207101739959479	NA	0.000107891390342725	0.000999779136161852	NA	NA	NA	NA	NA	0.00166983007538451	NA	NA	0.0208374166476848	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00726191218786767	NA	0.000106161668653864	NA	NA	NA	NA	NA	NA	NA	0.00269944691067922	NA	NA	0.000140215564403321	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000740969528465975	NA	NA	NA	NA	NA	0.000409619717443475	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00341036252480124	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.2107772904406e-05	NA	NA	NA	NA	NA	NA	NA	9.83779210539786e-06	NA	1.64323560441814e-05	NA	NA	1.31891278775671e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000347565951855574	NA	NA	NA	NA	NA	NA	NA
CSM5FZ3Z_P	0.430146650278469	NA	0.00396771279832536	NA	NA	2.85157249529892e-05	NA	0.245046290708238	0.00253485203876005	NA	1.45843784110703e-05	NA	0.0798100722111757	0.000350025081865707	0.124481805606997	NA	NA	NA	NA	0.000240968759717249	0.00502257694429627	NA	NA	0.028390778188692	0.000112539158783936	NA	NA	NA	NA	NA	NA	NA	NA	0.011759906738342	NA	NA	0.0415232490773476	NA	NA	NA	NA	0.000235309150184595	NA	NA	NA	1.52374102802193e-06	0.000202984072661549	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000223119221960416	NA	NA	NA	NA	NA	0.00151634000017196	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0239338356817266	NA	NA	NA	NA	NA	6.5303186915242e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.99569379901607e-05	0.000146170300045287	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.03360752327534e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000163366805932968	NA	NA	NA	NA	NA	NA	NA
CSM5FZ42_P	0.655623523835209	0.000130306588246618	5.7321277930785e-05	NA	2.83768702627626e-06	2.67877655280491e-05	1.16912705482587e-05	0.0650706606771039	0.0106500664245779	0.000163450772713528	1.88422418544759e-05	NA	0.0535058374627354	0.00273927604020526	0.0488682623094322	NA	NA	NA	NA	NA	NA	NA	NA	0.0199306650902748	3.80250061521054e-05	NA	0.000486606571265897	NA	NA	5.48241133476623e-05	NA	NA	NA	0.0158807181663729	NA	NA	0.0722159566092682	NA	NA	NA	NA	2.82633627817138e-05	NA	NA	NA	NA	0.00412259171177453	NA	NA	NA	NA	NA	NA	NA	NA	4.99432916624658e-05	NA	NA	NA	0.000701703247857659	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00255244272639521	NA	NA	6.25426220591337e-05	NA	NA	0.00148592643443944	NA	NA	NA	NA	NA	NA	NA	NA	7.55959823800053e-05	NA	NA	NA	NA	NA	NA	0.0428096870008508	NA	NA	NA	NA	NA	0.000474915300717639	NA	5.67537405255251e-06	NA	7.03746382516567e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000238706232650381	NA	0.00010817262944166	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00111430294147827	NA	NA	NA	NA	8.05903115462492e-06	NA	NA	NA	NA	NA	NA	0.000615437562258852	NA	NA	NA	NA	NA	NA	NA
CSM5FZ44_P	0.549719192384006	0.00766417456716536	0.00135560804637682	NA	NA	8.33321248371409e-06	NA	0.0986132885085865	0.0241099317390852	NA	NA	NA	0.131076778756672	0.00278469987556457	0.123316934581252	NA	NA	NA	NA	NA	NA	NA	0.00014317974176565	0.0164908863875784	5.48693341460198e-05	NA	NA	NA	NA	NA	NA	NA	NA	0.00269898683287493	NA	NA	0.0283550000465361	NA	NA	0.000108548209365794	0.000160711955043075	NA	NA	NA	NA	NA	0.00177151110579132	NA	NA	NA	NA	NA	NA	4.65361216623044e-05	NA	NA	NA	NA	NA	7.85702891321699e-05	NA	0.00032185680424115	NA	NA	NA	NA	NA	NA	NA	0.00115755897046515	NA	NA	NA	NA	NA	0.000100864338114577	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.89170395147939e-05	NA	NA	NA	NA	NA	0.00943276363741044	NA	NA	NA	NA	NA	3.36575205511088e-05	NA	NA	NA	NA	NA	NA	NA	1.06059067974555e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.88522504110857e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000204001370542894	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.31804668633583e-05	NA	NA	NA	NA	NA	NA	NA
CSM5FZ46_P	0.557247181107744	4.02140365498778e-05	3.82990824284496e-06	NA	NA	2.34049948173781e-06	NA	0.194727961085579	0.00196772174610198	NA	NA	NA	0.0719890830593265	0.00101928752429731	0.139584303887048	NA	NA	NA	NA	NA	0.00331372172078203	NA	NA	0.0046174863184507	6.63850762093224e-05	NA	NA	NA	NA	NA	NA	NA	NA	0.000711831001468875	NA	NA	0.0186811221588597	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.70243421520872e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000571720191584777	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00491472975263155	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.7661080355411e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000396395503134514	NA	NA	NA	NA	NA	NA	NA
CSM5FZ4C_P	0.143049338580509	0.0409300471334159	0.259982697830096	NA	NA	NA	NA	0.171286404287424	NA	NA	0.0225563519109262	NA	NA	0.0292937120097984	0.22413466123433	3.93231134175417e-05	NA	NA	NA	0.0514574232236876	NA	NA	NA	0.0191777525175649	6.73098337777748e-05	NA	NA	NA	NA	NA	NA	NA	NA	0.0121345459810007	NA	NA	0.000423933865372302	0.00679711233727848	NA	NA	0.000262980701444044	1.34619667555539e-05	NA	NA	NA	NA	0.00024609419928576	NA	0.00174167147085685	NA	NA	NA	0.000288015236112269	NA	NA	NA	NA	0.00063849872146742	NA	0.000140996388650285	NA	NA	NA	NA	NA	NA	NA	0.00231108904713129	NA	7.48674291493139e-05	NA	NA	NA	NA	NA	0.000978236250903663	NA	NA	NA	NA	0.000536235009096274	0.00145920634384555	NA	NA	NA	0.00446890061313354	9.13996690245564e-05	NA	NA	NA	NA	0.000512263261277171	1.66503273029231e-05	NA	NA	NA	NA	9.3997592433524e-05	NA	0.000793901776294704	NA	NA	NA	0.00134029230417148	NA	NA	0.000800868934527842	NA	NA	NA	NA	NA	0.000124936498485764	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00173482240005139	NA	NA	NA
