"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"Feature58"	"Metadata_2"	"1"	"Metadata_21"	-4.89729885772598	0	0.519425296288175	7.62507686648125e-13	5.48243026700002e-10	7.62507686648125e-13	3.20253228392213e-10	NA	"abundance"	100	58
"Feature88"	"Metadata_5"	"1"	"Metadata_51"	7.8599105412674	0	0.819277033107393	2.99360718792845e-12	1.07620178406028e-09	5.98721437584793e-12	1.25731501892806e-09	NA	"abundance"	100	49
"Feature3"	"Metadata_1"	"1"	"Metadata_11"	4.98925528855495	0	0.920070391646703	5.87091946371639e-08	1.40706369813736e-05	1.17418385827558e-07	1.64385740158581e-05	NA	"prevalence"	100	40
"Feature10"	"Metadata_1"	"1"	"Metadata_11"	-4.1908482080237	0	0.669412609243584	3.9609337068381e-07	5.29244263181301e-05	3.9609337068381e-07	4.15898039218001e-05	NA	"abundance"	100	40
"Feature39"	"Metadata_4"	"Metadata_4"	"Metadata_4"	-2.73302170125366	0	0.541185011560708	4.41650289163812e-07	5.29244263181301e-05	8.83300383272646e-07	6.18310268290853e-05	NA	"prevalence"	100	27
"Feature82"	"Metadata_1"	"1"	"Metadata_11"	4.10779645036407	0	0.812221387807162	4.24824670550896e-07	5.29244263181301e-05	8.49649160625791e-07	6.18310268290853e-05	NA	"prevalence"	100	33
"Feature45"	"Metadata_4"	"Metadata_4"	"Metadata_4"	-1.72474474586009	0	0.345593562056127	6.01690249716401e-07	5.40769111932616e-05	1.20338013740165e-06	6.31774572135864e-05	NA	"prevalence"	100	47
"Feature88"	"Metadata_4"	"Metadata_4"	"Metadata_4"	3.36212388322094	0	0.670546424047011	5.3308285950526e-07	5.40769111932616e-05	1.06616543483318e-06	6.31774572135864e-05	NA	"prevalence"	100	49
"Feature80"	"Metadata_1"	"1"	"Metadata_11"	2.62214260242364	0	0.53879998012507	1.13514647745201e-06	9.06855908097774e-05	2.2702916663465e-06	0.000105946944429503	NA	"prevalence"	100	41
"Feature97"	"Metadata_4"	"Metadata_4"	"Metadata_4"	-2.93082401496484	0	0.474591152279936	6.19895970062072e-06	0.00044570520247463	1.23978809741401e-05	0.000520711000913883	NA	"abundance"	100	25
"Feature26"	"Metadata_3"	"Metadata_3"	"Metadata_3"	1.50669023221238	0	0.346772753197277	1.39344072101262e-05	0.00091080352582552	2.78686202525481e-05	0.000975401708839182	NA	"prevalence"	100	22
"Feature56"	"Metadata_4"	"Metadata_4"	"Metadata_4"	5.92906018677423	0	1.00462238578415	1.74128328233378e-05	0.00104331889999832	1.74128328233378e-05	0.00066485361689108	NA	"abundance"	100	23
"Feature69"	"Metadata_5"	"1"	"Metadata_51"	2.48621283733471	0	0.59558922668589	2.98805094500531e-05	0.00165262202266063	5.97601260552612e-05	0.00193071176486229	NA	"prevalence"	100	28
"Feature83"	"Metadata_3"	"Metadata_3"	"Metadata_3"	5.4467556401097	0	1.06894511973445	7.55479791267021e-05	0.00387992835657849	0.000151090250756254	0.00423052702117512	NA	"abundance"	100	24
"Feature49"	"Metadata_1"	"1"	"Metadata_11"	-5.45300474181795	0	1.0206902442368	8.21550542666834e-05	0.00393796560118303	8.21550542666834e-05	0.0024646516280005	NA	"abundance"	100	21
"Feature58"	"Metadata_1"	"1"	"Metadata_11"	1.8471606194564	0	0.473036198102587	9.42630628040482e-05	0.00423594638475692	0.000188517240083087	0.00465748475499392	NA	"prevalence"	100	58
"Feature16"	"Metadata_3"	"Metadata_3"	"Metadata_3"	1.08189235842355	0	0.280306079888223	0.000113534627383809	0.0048018468875858	0.000227056364656003	0.0052979818419734	NA	"prevalence"	100	29
"Feature87"	"Metadata_5"	"1"	"Metadata_51"	-3.59498396471208	0	0.955415066273869	0.000168058043787784	0.00671298519352317	0.000168058043787784	0.00441152364942934	NA	"prevalence"	100	23
"Feature45"	"Metadata_1"	"1"	"Metadata_11"	2.16391492622807	0	0.579535940118714	0.000188555885830025	0.00679613123648006	0.000377076218337968	0.0079390968514575	NA	"prevalence"	100	47
"Feature49"	"Metadata_3"	"Metadata_3"	"Metadata_3"	-1.73209633647112	0	0.463967906513359	0.000189043984324897	0.00679613123648006	0.000378052231021786	0.0079390968514575	NA	"prevalence"	100	21
"Feature51"	"Metadata_2"	"1"	"Metadata_21"	1.60776297469477	0	0.440772596811841	0.000264699314350637	0.00906280033419563	0.000529328562974257	0.0101053634749631	NA	"prevalence"	100	57
"Feature71"	"Metadata_4"	"Metadata_4"	"Metadata_4"	0.993293813775639	0	0.274771716014093	0.000300372683596204	0.00981672543207594	0.000600655143443358	0.0109684852280961	NA	"prevalence"	100	75
"Feature49"	"Metadata_5"	"1"	"Metadata_51"	-5.59798487106692	0	1.22708356286329	0.00037414768274645	0.0116961819084651	0.000748155379004395	0.0130927191325769	NA	"abundance"	100	21
"Feature23"	"Metadata_5"	"1"	"Metadata_51"	-3.36798896305874	0	0.961381923995294	0.000459568085472787	0.0137678938939556	0.000459568085472787	0.00919136170945575	NA	"prevalence"	100	20
"Feature99"	"Metadata_3"	"Metadata_3"	"Metadata_3"	-1.51616482253553	0	0.440692768552768	0.000580828633823192	0.016704631508755	0.00116131990574451	0.0195101744165079	NA	"prevalence"	100	15
"Feature64"	"Metadata_3"	"Metadata_3"	"Metadata_3"	-3.22801239925778	0	0.828401553544145	0.000611743844037839	0.0169170701485849	0.00122311345754496	0.0197579866218801	NA	"abundance"	100	32
"Feature84"	"Metadata_1"	"1"	"Metadata_11"	-4.53951769729723	0	0.918766321693231	0.000801266049147928	0.0205753674763343	0.00160189007101434	0.0231997872353801	NA	"abundance"	100	15
"Feature39"	"Metadata_4"	"Metadata_4"	"Metadata_4"	-3.65908411188162	0	0.943257872089828	0.000866897349469667	0.0214930756644376	8.83300383272646e-07	6.18310268290853e-05	NA	"abundance"	100	27
"Feature67"	"Metadata_1"	"1"	"Metadata_11"	-2.31589700550647	0	0.661170573403773	0.00114871117038135	0.0275307777168065	0.00229610280340975	0.0321454392477365	NA	"abundance"	100	46
"Feature97"	"Metadata_4"	"Metadata_4"	"Metadata_4"	-0.835814848853305	0	0.259320662574506	0.00126813969386816	0.0294126593513292	1.23978809741401e-05	0.000520711000913883	NA	"prevalence"	100	25
"Feature22"	"Metadata_2"	"1"	"Metadata_21"	-3.20446349590557	0	1.0083290745791	0.00148297948109789	0.0325095509099826	0.00148297948109789	0.0223814015305165	NA	"prevalence"	100	14
"Feature28"	"Metadata_5"	"1"	"Metadata_51"	3.05919531903235	0	0.963156929724035	0.00149209343536777	0.0325095509099826	0.00149209343536777	0.0223814015305165	NA	"prevalence"	100	16
"Feature49"	"Metadata_5"	"1"	"Metadata_51"	-2.05912545491865	0	0.670192266789888	0.00212316589217976	0.0448987140140367	0.000748155379004395	0.0130927191325769	NA	"prevalence"	100	21
"Feature79"	"Metadata_4"	"Metadata_4"	"Metadata_4"	-1.01000005426052	0	0.313571198763709	0.00449769973519983	0.0923956031316764	0.00897517016749164	0.121599079688596	NA	"abundance"	100	25
"Feature79"	"Metadata_3"	"Metadata_3"	"Metadata_3"	-1.07396722428343	0	0.33557558349918	0.00471024289622151	0.0940740178439797	0.00939829940430163	0.123352679681459	NA	"abundance"	100	25
"Feature84"	"Metadata_1"	"1"	"Metadata_11"	-1.42048513517028	0	0.665107127495814	0.0327019316560157	0.388568576239562	0.00160189007101434	0.0231997872353801	NA	"prevalence"	100	15
"Feature3"	"Metadata_1"	"1"	"Metadata_11"	-1.47861526790168	0	0.917179841472095	0.116178513728365	0.79554620353042	1.17418385827558e-07	1.64385740158581e-05	NA	"abundance"	100	40
"Feature16"	"Metadata_3"	"Metadata_3"	"Metadata_3"	1.30539782147519	0	0.863712935353636	0.144310617808158	0.852820788522028	0.000227056364656003	0.0052979818419734	NA	"abundance"	100	29
"Feature71"	"Metadata_4"	"Metadata_4"	"Metadata_4"	0.379153413252466	0	0.268867862353615	0.162977166651034	0.887731688046165	0.000600655143443358	0.0109684852280961	NA	"abundance"	100	75
"Feature99"	"Metadata_3"	"Metadata_3"	"Metadata_3"	-0.231554964563468	0	0.154858815824044	0.1690585897084	0.891162449093454	0.00116131990574451	0.0195101744165079	NA	"abundance"	100	15
"Feature67"	"Metadata_1"	"1"	"Metadata_11"	-0.543190020504862	0	0.414429766591583	0.189961646125917	0.908064888861406	0.00229610280340975	0.0321454392477365	NA	"prevalence"	100	46
"Feature82"	"Metadata_1"	"1"	"Metadata_11"	3.89568413585495	0	3.251886739276	0.241336989417143	0.95303311120228	8.49649160625791e-07	6.18310268290853e-05	NA	"abundance"	100	33
"Feature58"	"Metadata_1"	"1"	"Metadata_11"	0.617651055085192	0	0.558827968924073	0.274134013179691	0.968579193581085	0.000188517240083087	0.00465748475499392	NA	"abundance"	100	58
"Feature45"	"Metadata_1"	"1"	"Metadata_11"	0.671025249874468	0	0.798633596574586	0.405660137638675	0.978117692736703	0.000377076218337968	0.0079390968514575	NA	"abundance"	100	47
"Feature69"	"Metadata_5"	"1"	"Metadata_51"	-1.48504856633173	0	1.74925057093389	0.405045519825712	0.978117692736703	5.97601260552612e-05	0.00193071176486229	NA	"abundance"	100	28
"Feature45"	"Metadata_4"	"Metadata_4"	"Metadata_4"	-0.26710115372818	0	0.441775785727854	0.548771109709096	0.997154779941959	1.20338013740165e-06	6.31774572135864e-05	NA	"abundance"	100	47
"Feature64"	"Metadata_3"	"Metadata_3"	"Metadata_3"	-0.127140120652965	0	0.220257710517604	0.563781755639511	0.997154779941959	0.00122311345754496	0.0197579866218801	NA	"prevalence"	100	32
"Feature26"	"Metadata_3"	"Metadata_3"	"Metadata_3"	-0.160845665797228	0	0.40353998491754	0.695466539612625	0.99887533751084	2.78686202525481e-05	0.000975401708839182	NA	"abundance"	100	22
"Feature49"	"Metadata_3"	"Metadata_3"	"Metadata_3"	-0.20069693769173	0	1.11171068335043	0.859153101260405	0.99887533751084	0.000378052231021786	0.0079390968514575	NA	"abundance"	100	21
"Feature51"	"Metadata_2"	"1"	"Metadata_21"	-0.0204791701866768	0	0.54181728149854	0.969996951674329	0.99887533751084	0.000529328562974257	0.0101053634749631	NA	"abundance"	100	57
"Feature80"	"Metadata_1"	"1"	"Metadata_11"	-0.488543642494612	0	0.968851247974487	0.617245216786474	0.99887533751084	2.2702916663465e-06	0.000105946944429503	NA	"abundance"	100	41
"Feature88"	"Metadata_4"	"Metadata_4"	"Metadata_4"	-0.312854948166911	0	0.727764761557934	0.669426217364193	0.99887533751084	1.06616543483318e-06	6.31774572135864e-05	NA	"abundance"	100	49
"Feature83"	"Metadata_3"	"Metadata_3"	"Metadata_3"	0.0570955960527499	0	0.231997744742154	0.805601649729005	0.99887533751084	0.000151090250756254	0.00423052702117512	NA	"prevalence"	100	24
"Feature88"	"Metadata_5"	"1"	"Metadata_51"	-0.364419714161508	0	0.651882197775256	0.57614333040861	0.99887533751084	5.98721437584793e-12	1.25731501892806e-09	NA	"prevalence"	100	49
"Feature56"	"Metadata_4"	"Metadata_4"	"Metadata_4"	1.10927011017944	0	0.32922866661673	0.000753593887077329	0.0200679261040222	1.74128328233378e-05	0.00066485361689108	"Prevalence association possibly induced 
by stronger abundance association"	"prevalence"	100	23
