"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"Feature94"	"Metadata_1"	"Metadata_1"	"Metadata_1"	2.8313086870827	0	0.373557115342779	3.32220435738373e-11	2.30228761966692e-08	6.64440871465706e-11	2.75742961658268e-08	NA	"abundance"	100	94
"Feature80"	"Metadata_3"	"Metadata_3"	"Metadata_3"	2.85983411403933	0	0.316134661593653	3.3181569976613e-10	1.14974139968964e-07	3.3181569976613e-10	6.88517577014721e-08	NA	"abundance"	100	37
"Feature80"	"Metadata_5"	"Metadata_5"	"Metadata_5"	2.21817878284695	0	0.296051926520961	1.92359973378582e-08	4.44351538504524e-06	3.84719943056928e-08	5.3219592122875e-06	NA	"abundance"	100	37
"Feature59"	"Metadata_1"	"Metadata_1"	"Metadata_1"	1.85563873454056	0	0.341653366964131	5.59295738277213e-08	9.68979866565272e-06	1.11859144527325e-07	1.13968847051955e-05	NA	"prevalence"	100	37
"Feature33"	"Metadata_3"	"Metadata_3"	"Metadata_3"	1.44958799499619	0	0.27141110672305	9.24704476882731e-08	1.28164040495947e-05	1.84940886825763e-07	1.13968847051955e-05	NA	"prevalence"	100	53
"Feature66"	"Metadata_2"	"Metadata_2"	"Metadata_2"	3.83354772585888	0	0.55966847451438	1.92236609485226e-07	1.90314243390373e-05	1.92236609485226e-07	1.13968847051955e-05	NA	"abundance"	100	34
"Feature80"	"Metadata_1"	"Metadata_1"	"Metadata_1"	-2.0871911065124	0	0.311424515090813	1.69363844311869e-07	1.90314243390373e-05	1.69363844311869e-07	1.13968847051955e-05	NA	"abundance"	100	37
"Feature79"	"Metadata_4"	"Metadata_4"	"Metadata_4"	2.05021010976842	0	0.422432279675213	1.21395480541197e-06	0.000104362259117446	2.42790813713767e-06	0.000124993674410736	NA	"prevalence"	100	40
"Feature93"	"Metadata_1"	"Metadata_1"	"Metadata_1"	-1.85153747312343	0	0.383225245596336	1.35535401451228e-06	0.000104362259117446	2.71070619204006e-06	0.000124993674410736	NA	"prevalence"	100	68
"Feature4"	"Metadata_1"	"Metadata_1"	"Metadata_1"	2.86878305482169	0	0.434241901756271	1.53100788292702e-06	0.000106098846286842	3.0620134218689e-06	0.000127073557007559	NA	"abundance"	100	27
"Feature8"	"Metadata_4"	"Metadata_4"	"Metadata_4"	-1.85950132086695	0	0.45931816584621	5.15700819248458e-05	0.00308106388445166	0.000103137504376342	0.0036900646555923	NA	"prevalence"	100	20
"Feature86"	"Metadata_4"	"Metadata_4"	"Metadata_4"	1.25699407061833	0	0.311103514887565	5.33517555749205e-05	0.00308106388445166	0.000106700664740018	0.0036900646555923	NA	"prevalence"	100	39
"Feature62"	"Metadata_4"	"Metadata_4"	"Metadata_4"	1.65236257019411	0	0.428008808760726	0.000113117847116181	0.00603005138857796	0.000226222898585026	0.00670589306519897	NA	"prevalence"	100	16
"Feature45"	"Metadata_3"	"Metadata_3"	"Metadata_3"	-1.81700245370342	0	0.408396185941703	0.000143863970441537	0.00712126653685608	0.000287707244041083	0.00795990041846995	NA	"abundance"	100	32
"Feature101"	"Metadata_1"	"Metadata_1"	"Metadata_1"	1.11970835239748	0	0.28679120570405	0.000177772477521622	0.00769977043265526	0.000177772477521622	0.00567504447472871	NA	"abundance"	100	100
"Feature8"	"Metadata_2"	"Metadata_2"	"Metadata_2"	3.33076589447637	0	0.655954273501928	0.000168465555881533	0.00769977043265526	0.000336902731119548	0.00873841458841327	NA	"abundance"	100	20
"Feature32"	"Metadata_5"	"Metadata_5"	"Metadata_5"	1.33667748579393	0	0.374166108910626	0.000353701179440217	0.0144185245501218	0.000707277254356097	0.0172658859151635	NA	"prevalence"	100	20
"Feature45"	"Metadata_2"	"Metadata_2"	"Metadata_2"	-0.991142231624359	0	0.286560423231748	0.000542678754547125	0.0208931320500643	0.00108506300886361	0.0250167304821333	NA	"prevalence"	100	32
"Feature83"	"Metadata_4"	"Metadata_4"	"Metadata_4"	1.63267996703922	0	0.476750399358937	0.000615702593465693	0.0224569419616697	0.00123102609724779	0.0268882015977806	NA	"prevalence"	100	9
"Feature90"	"Metadata_4"	"Metadata_4"	"Metadata_4"	-1.62702612016982	0	0.492283238867907	0.000949557402259793	0.0329021639883018	0.0018982131452594	0.0393879227641325	NA	"prevalence"	100	8
"Feature5"	"Metadata_4"	"Metadata_4"	"Metadata_4"	4.92421101252819	0	1.22826488975002	0.00205407201625387	0.0677843765363777	0.00205407201625387	0.0405923755593027	NA	"abundance"	100	17
"Feature45"	"Metadata_3"	"Metadata_3"	"Metadata_3"	-0.798390716397037	0	0.260938022687358	0.00221562632890092	0.0697922293603789	0.000287707244041083	0.00795990041846995	NA	"prevalence"	100	32
"Feature45"	"Metadata_2"	"Metadata_2"	"Metadata_2"	-2.07724463216396	0	0.644656912874463	0.00340924684438971	0.101591551704467	0.00108506300886361	0.0250167304821333	NA	"abundance"	100	32
"Feature51"	"Metadata_2"	"Metadata_2"	"Metadata_2"	-1.4387037857043	0	0.501110682063531	0.00409136735073925	0.113412702962492	0.00409136735073925	0.0771780659343995	NA	"prevalence"	100	5
"Feature4"	"Metadata_1"	"Metadata_1"	"Metadata_1"	0.575120163092625	0	0.237671645286947	0.0155286293769763	0.290847031303907	3.0620134218689e-06	0.000127073557007559	NA	"prevalence"	100	27
"Feature86"	"Metadata_4"	"Metadata_4"	"Metadata_4"	-0.903491543315063	0	0.392270457969289	0.0277058320503856	0.444528082930169	0.000106700664740018	0.0036900646555923	NA	"abundance"	100	39
"Feature8"	"Metadata_2"	"Metadata_2"	"Metadata_2"	0.680404368041444	0	0.314955309880947	0.030747877984472	0.465077957086433	0.000336902731119548	0.00873841458841327	NA	"prevalence"	100	20
"Feature59"	"Metadata_1"	"Metadata_1"	"Metadata_1"	1.46084351444561	0	1.02259744237468	0.163129218564928	0.907863926920882	1.11859144527325e-07	1.13968847051955e-05	NA	"abundance"	100	37
"Feature94"	"Metadata_1"	"Metadata_1"	"Metadata_1"	-0.529414549007958	0	0.411275878335484	0.198007440519134	0.907863926920882	6.64440871465706e-11	2.75742961658268e-08	NA	"prevalence"	100	94
"Feature62"	"Metadata_4"	"Metadata_4"	"Metadata_4"	-0.689653416139677	0	0.71770380978361	0.359252477273486	0.981739387079898	0.000226222898585026	0.00670589306519897	NA	"abundance"	100	16
"Feature32"	"Metadata_5"	"Metadata_5"	"Metadata_5"	-0.0612761736754842	0	1.19038269882658	0.959673461689552	0.994449924588686	0.000707277254356097	0.0172658859151635	NA	"abundance"	100	20
"Feature33"	"Metadata_3"	"Metadata_3"	"Metadata_3"	-0.206986106141866	0	0.48848368296871	0.67369436785599	0.994449924588686	1.84940886825763e-07	1.13968847051955e-05	NA	"abundance"	100	53
"Feature79"	"Metadata_4"	"Metadata_4"	"Metadata_4"	-0.667115127124164	0	0.982476056071865	0.501725312345322	0.994449924588686	2.42790813713767e-06	0.000124993674410736	NA	"abundance"	100	40
"Feature8"	"Metadata_4"	"Metadata_4"	"Metadata_4"	-0.452147116053981	0	0.557233755160583	0.430707912424551	0.994449924588686	0.000103137504376342	0.0036900646555923	NA	"abundance"	100	20
