"feature"	"metadata"	"value"	"name"	"coef"	"stderr"	"pval_individual"	"error"	"qval_individual"	"model"	"N"	"N.not.zero"	"pval_joint"	"qval_joint"
"Phocaeicola_sartorii"	"reads"	"reads"	"reads"	0.169730374446687	0.122080036896632	0.00229427251867624	NA	0.0268910081258797	"abundance"	685	205	6.22231526161483e-17	3.68361063487598e-14
"Phocaeicola_sartorii"	"reads"	"reads"	"reads"	1.55951353409454	0.184725834707205	3.1111576308074e-17	NA	1.84180531743798e-14	"prevalence"	685	205	6.22231526161483e-17	3.68361063487598e-14
"Faecalibacterium_prausnitzii"	"dysbiosis_state"	"dysbiosis_CD"	"dysbiosis_statedysbiosis_CD"	-1.90858800884341	0.265646112346871	1.00414102835425e-06	NA	3.89297752531187e-05	"abundance"	685	573	3.35683157809074e-12	9.93622147114859e-10
"Faecalibacterium_prausnitzii"	"dysbiosis_state"	"dysbiosis_CD"	"dysbiosis_statedysbiosis_CD"	-4.8871884642326	0.692345481277849	1.67841578904678e-12	NA	4.96811073557847e-10	"prevalence"	685	573	3.35683157809074e-12	9.93622147114859e-10
"Bacteroides_eggerthii"	"reads"	"reads"	"reads"	-0.0103066755831567	0.204368487438943	1	NA	1	"abundance"	685	119	1.10988044972681e-10	2.19016408746091e-08
"Bacteroides_eggerthii"	"reads"	"reads"	"reads"	1.61400943707461	0.246210782416267	5.54940224878807e-11	NA	1.09508204376085e-08	"prevalence"	685	119	1.10988044972681e-10	2.19016408746091e-08
"Blautia_faecis"	"dysbiosis_state"	"dysbiosis_CD"	"dysbiosis_statedysbiosis_CD"	-0.00898376623396554	0.515695582124367	0.25683128411886	NA	0.653752359575281	"abundance"	685	469	2.9913674172725e-10	4.4272237775633e-08
"Blautia_faecis"	"dysbiosis_state"	"dysbiosis_CD"	"dysbiosis_statedysbiosis_CD"	-2.56274815912588	0.40006591104329	1.49568370874811e-10	NA	2.2136118889472e-08	"prevalence"	685	469	2.9913674172725e-10	4.4272237775633e-08
"Bacteroides_uniformis"	"dysbiosis_state"	"dysbiosis_CD"	"dysbiosis_statedysbiosis_CD"	-2.06141016023021	0.287935478175292	4.9020193204478e-07	NA	3.44520503673339e-05	"abundance"	685	553	8.38414545492214e-10	8.27235684885651e-08
"Dysosmobacter_welbionis"	"dysbiosis_state"	"dysbiosis_CD"	"dysbiosis_statedysbiosis_CD"	-0.0259487605743848	0.301483173430157	0.0598917111110447	NA	0.287480213333015	"abundance"	685	524	7.48694263934264e-10	8.27235684885651e-08
"Bacteroides_uniformis"	"dysbiosis_state"	"dysbiosis_CD"	"dysbiosis_statedysbiosis_CD"	-3.47554673333928	0.556380985659394	4.19207272833974e-10	NA	4.13617842529521e-08	"prevalence"	685	553	8.38414545492214e-10	8.27235684885651e-08
"Dysosmobacter_welbionis"	"dysbiosis_state"	"dysbiosis_CD"	"dysbiosis_statedysbiosis_CD"	-2.86797528132257	0.457823765354046	3.74347132037201e-10	NA	4.13617842529521e-08	"prevalence"	685	524	7.48694263934264e-10	8.27235684885651e-08
