"feature"	"metadata"	"value"	"name"	"coef"	"stderr"	"pval_individual"	"error"	"qval_individual"	"model"	"N"	"N.not.zero"	"pval_joint"	"qval_joint"
"Feature58"	"Metadata_2"	"1"	"Metadata_21"	-4.89729885766821	0.519425296292437	7.62507687153841e-13	NA	2.27989798458998e-10	"abundance"	100	58	1.5250153743071e-12	6.7863184156666e-10
"Feature58"	"Metadata_2"	"1"	"Metadata_21"	-0.616059850168979	0.464701834164978	0.184935786914807	NA	0.978790387847326	"prevalence"	100	58	1.5250153743071e-12	6.7863184156666e-10
"Feature88"	"Metadata_5"	"1"	"Metadata_51"	7.85991054123545	0.819277033075775	2.99360718486833e-12	NA	4.47544274137815e-10	"abundance"	100	49	5.98721436972768e-12	1.33215519726441e-09
"Feature88"	"Metadata_5"	"1"	"Metadata_51"	-0.364419713989877	0.65188219775073	0.576143330573939	NA	0.999068586141785	"prevalence"	100	49	5.98721436972768e-12	1.33215519726441e-09
"Feature3"	"Metadata_1"	"1"	"Metadata_11"	-1.47861526800686	0.917179841448907	0.116178513694442	NA	0.76387253069397	"abundance"	100	40	1.17418385871419e-07	1.74170605709271e-05
"Feature3"	"Metadata_1"	"1"	"Metadata_11"	4.98925528856912	0.920070391660643	5.87091946590942e-08	NA	2.61255916232969e-05	"prevalence"	100	40	1.17418385871419e-07	1.74170605709271e-05
"Feature10"	"Metadata_1"	"1"	"Metadata_11"	-4.19084820804007	0.669412609244948	3.96093370670032e-07	NA	3.94773059434465e-05	"abundance"	100	40	7.92186584450106e-07	6.55114450435823e-05
"Feature39"	"Metadata_4"	"Metadata_4"	"Metadata_4"	-3.65908411136277	0.943257872070933	0.000866897350446321	NA	0.0235638461621318	"abundance"	100	27	8.83300382610098e-07	6.55114450435823e-05
"Feature82"	"Metadata_1"	"1"	"Metadata_11"	3.89568413539259	3.25188673929538	0.241336989474312	NA	0.854686143692397	"abundance"	100	33	8.49649160554181e-07	6.55114450435823e-05
"Feature10"	"Metadata_1"	"1"	"Metadata_11"	-1.08966519664548	0.441730220810369	0.013632209288621	NA	0.215732654312072	"prevalence"	100	40	7.92186584450106e-07	6.55114450435823e-05
"Feature39"	"Metadata_4"	"Metadata_4"	"Metadata_4"	-2.733021700934	0.541185011482055	4.41650288832538e-07	NA	5.35504322057256e-05	"prevalence"	100	27	8.83300382610098e-07	6.55114450435823e-05
"Feature82"	"Metadata_1"	"1"	"Metadata_11"	4.10779645036569	0.8122213878049	4.24824670515091e-07	NA	5.35504322057256e-05	"prevalence"	100	33	8.49649160554181e-07	6.55114450435823e-05
"Feature45"	"Metadata_4"	"Metadata_4"	"Metadata_4"	-0.267101153849152	0.441775785721568	0.548771109523206	NA	0.944288538148847	"abundance"	100	47	1.20338013697391e-06	6.69380201191739e-05
"Feature88"	"Metadata_4"	"Metadata_4"	"Metadata_4"	-0.312854948331536	0.727764761485937	0.66942621717021	NA	0.972610577484406	"abundance"	100	49	1.06616543737142e-06	6.69380201191739e-05
"Feature45"	"Metadata_4"	"Metadata_4"	"Metadata_4"	-1.72474474584492	0.345593562048334	6.01690249502534e-07	NA	5.35504322057256e-05	"prevalence"	100	47	1.20338013697391e-06	6.69380201191739e-05
"Feature88"	"Metadata_4"	"Metadata_4"	"Metadata_4"	3.3621238832109	0.670546424106234	5.33082860774377e-07	NA	5.35504322057256e-05	"prevalence"	100	49	1.06616543737142e-06	6.69380201191739e-05
"Feature80"	"Metadata_1"	"1"	"Metadata_11"	-0.488543642458828	0.96885124794287	0.617245216800716	NA	0.971349051702179	"abundance"	100	41	2.27029166739592e-06	0.000112253310221243
"Feature80"	"Metadata_1"	"1"	"Metadata_11"	2.62214260231194	0.538799980112237	1.13514647797672e-06	NA	8.41900304499403e-05	"prevalence"	100	41	2.27029166739592e-06	0.000112253310221243
"Feature97"	"Metadata_4"	"Metadata_4"	"Metadata_4"	-2.93082401493628	0.474591152328941	6.19895970970703e-06	NA	0.000463372238300601	"abundance"	100	25	1.23978809923126e-05	0.00055170570415791
"Feature97"	"Metadata_4"	"Metadata_4"	"Metadata_4"	-0.835814848789924	0.259320662570754	0.00126813969474379	NA	0.0297011665347889	"prevalence"	100	25	1.23978809923126e-05	0.00055170570415791
