feature	Feature1	Feature3	Feature4	Feature5	Feature6	Feature8	Feature9	Feature10	Feature12	Feature14	Feature15	Feature16	Feature17	Feature18	Feature19	Feature20	Feature21	Feature22	Feature23	Feature24	Feature25	Feature26	Feature27	Feature28	Feature29	Feature30	Feature31	Feature32	Feature33	Feature34	Feature35	Feature36	Feature37	Feature38	Feature39	Feature40	Feature41	Feature42	Feature43	Feature44	Feature45	Feature46	Feature47	Feature48	Feature49	Feature51	Feature52	Feature53	Feature54	Feature55	Feature56	Feature58	Feature59	Feature60	Feature61	Feature62	Feature63	Feature64	Feature65	Feature66	Feature67	Feature68	Feature69	Feature71	Feature72	Feature74	Feature75	Feature76	Feature78	Feature79	Feature80	Feature81	Feature82	Feature83	Feature84	Feature85	Feature86	Feature87	Feature88	Feature89	Feature91	Feature93	Feature94	Feature95	Feature96	Feature97	Feature98	Feature99	Feature100
Sample1	NA	14.9749094671495	NA	NA	NA	519.607734092085	NA	NA	NA	NA	0.2703052250388	NA	NA	NA	NA	NA	0.1351526125194	NA	5.89265390584583	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.43248836006208	NA	0.62170201758924	0.0810915675116399	0.43248836006208	NA	NA	292.199948266943	NA	NA	NA	0.10812209001552	0.0810915675116399	NA	NA	NA	NA	1.67589239524056	NA	NA	NA	NA	NA	0.21624418003104	NA	NA	NA	NA	NA	NA	0.0810915675116399	NA	NA	NA	NA	0.48654940506984	NA	NA	NA	0.5406104500776	NA	NA	0.43248836006208	NA	NA	NA	NA	2.00025866528712	NA	NA	13.9747801345059	NA	NA	2.48680807035696	NA	NA	NA	NA	NA	NA	NA
Sample2	NA	NA	NA	NA	181.127192982456	48.8840852130326	NA	2.71365914786967	NA	NA	NA	NA	NA	NA	NA	NA	0.458646616541353	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.4968671679198	44.6033834586466	0.191102756892231	NA	3.86027568922306	NA	NA	948.481203007519	NA	NA	0.229323308270677	NA	1.56704260651629	NA	0.420426065162907	NA	0.191102756892231	0.68796992481203	NA	NA	NA	0.0764411027568922	NA	NA	NA	NA	NA	0.267543859649123	NA	NA	NA	NA	0.382205513784461	NA	NA	0.840852130325815	NA	NA	NA	6.30639097744361	NA	0.382205513784461	0.649749373433584	NA	NA	NA	2.71365914786967	NA	NA	0.917293233082707	1.14661654135338	NA	103.959899749373	NA	0.305764411027569	NA	NA	NA	NA	0.649749373433584	NA
Sample3	NA	12.8042677012609	NA	NA	NA	55.0649854510184	NA	NA	NA	NA	NA	NA	NA	4.50397672162949	NA	NA	11.6322017458778	NA	NA	NA	NA	NA	NA	NA	NA	23.4413191076625	NA	NA	0.479146459747818	1.03937924345296	NA	NA	0.457032007759457	NA	2.38836081474297	40.5210475266731	NA	NA	NA	0.375945683802134	1.83549951503395	NA	NA	NA	0.00737148399612027	4.2164888457808	NA	NA	NA	NA	0.0147429679922405	0.235887487875849	NA	NA	NA	0.744519883608147	NA	NA	0.221144519883608	NA	0.0442289039767216	NA	NA	NA	NA	NA	NA	13.1507274490786	NA	1.30475266731329	2.52841901066925	NA	39.8281280310378	NA	0.00737148399612027	NA	NA	NA	NA	15.074684772066	28.8151309408341	NA	NA	NA	NA	NA	NA	NA	0.471774975751697
Sample4	NA	NA	NA	NA	NA	1838.51851851852	NA	NA	NA	NA	NA	NA	NA	NA	1.57407407407407	7.87037037037037	1.57407407407407	12.5925925925926	NA	NA	NA	NA	NA	NA	NA	18.8888888888889	NA	NA	1.57407407407407	7.87037037037037	NA	NA	NA	NA	NA	19233.6111111111	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.57407407407407	NA	NA	50.3703703703704	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.44444444444444	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.1666666666667	4.72222222222222	NA	NA	NA	NA	NA	NA	NA
Sample5	NA	NA	NA	NA	NA	29.4800693240901	NA	0.210571923743501	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0210571923743501	NA	896.046707105719	NA	NA	2.06360485268631	477.113864818024	NA	NA	1.11603119584055	NA	NA	30.8066724436742	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.23206239168111	NA	NA	NA	NA	NA	0.610658578856152	NA	NA	NA	1.0528596187175	NA	0.231629116117851	NA	NA	NA	NA	NA	3.64289428076256	NA	7.74904679376083	NA	54.1380415944541	NA	0.0842287694974004	0.968630849220104	NA	36.0709705372617	NA	NA	0.273743500866551	NA	NA	230.765771230503	NA	12.1921143847487	4.16932409012132	NA	0.147400346620451	NA	0.0210571923743501	NA	0.421143847487002	NA
Sample6	NA	39.4466467377177	NA	NA	NA	1197.61138549519	NA	NA	NA	NA	NA	0.559526904081102	NA	0.223810761632441	NA	12.4774499610086	NA	NA	NA	0.727384975305433	NA	NA	NA	NA	NA	23.7798934234468	NA	NA	2.96549259162984	NA	0.223810761632441	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.56667533142709	NA	0.0559526904081102	1.90239147387575	NA	NA	NA	NA	NA	0.223810761632441	13.204834936314	NA	NA	0.279763452040551	NA	2556.7581881986	NA	NA	NA	NA	NA	0.839290356121653	NA	NA	NA	NA	NA	0.167858071224331	0.0559526904081102	NA	NA	NA	NA	0.447621523264882	3.74883025734338	NA	3.63692487652716	0.783337665713543	2.90953990122173	NA	NA	NA	NA	NA	NA	NA	NA
Sample7	NA	NA	NA	NA	NA	157.136050449609	NA	2.69158005371949	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.040172836622679	NA	1547.71879014364	NA	NA	4.17797500875861	NA	0.361555529604111	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.542333294406166	NA	0.0200864183113395	1.90820973957725	NA	NA	0.0803456732453579	NA	20.6287516057456	0.0602592549340185	NA	0.0200864183113395	NA	0.040172836622679	NA	NA	0.120518509868037	NA	0.100432091556697	NA	1.56674062828448	1.48639495503912	NA	6.90972789910078	0.261123438047413	11.1077893261707	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	905.977811514656	NA	9.48078944295224	3.69590096928646	NA	0.7632838958309	NA	NA	0.0200864183113395	NA	NA
Sample8	NA	NA	NA	NA	NA	28.6835988753515	NA	0.018369259606373	NA	NA	NA	0.0275538894095595	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.404123711340206	NA	NA	86.1701968134958	14.7321462043112	NA	NA	1.75426429240862	27.333458294283	5.16176194939082	NA	1.07460168697282	NA	NA	2.14920337394564	NA	0.146954076850984	NA	0.165323336457357	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	34.6719775070291	NA	NA	NA	NA	NA	NA	NA	NA	0.165323336457357	NA	NA	3.54526710402999	NA	NA	NA	0.569447047797563	NA	NA	0.073477038425492	NA	2.82886597938144	0.018369259606373	NA	NA	NA	NA	NA	NA	47.5304592314902	100.902343017807	NA	NA	NA	NA	NA	NA	NA
Sample9	NA	7.60803793181305	NA	NA	NA	1686.02573944457	NA	NA	NA	NA	NA	1.26800632196884	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.281779182659743	NA	NA	NA	183.156468728833	NA	NA	14.9342966809664	NA	NA	NA	2.53601264393768	NA	NA	1.40889591329871	NA	NA	NA	0.140889591329871	2.25423346127794	NA	1.54978550462858	NA	NA	0.986227139309099	NA	NA	NA	NA	NA	0.422668773989614	NA	NA	NA	1.26800632196884	NA	NA	NA	NA	NA	NA	0.140889591329871	2.25423346127794	NA	6.48092120117408	NA	0.563558365319485	NA	0.422668773989614	NA	65.2318807857304	54.2424926620004	NA	NA	NA	0.422668773989614	NA	NA	0.140889591329871	NA	NA	NA	NA	NA	0.281779182659743	NA	NA	NA
Sample10	NA	NA	NA	NA	NA	9690.97355769231	NA	3.32451923076923	NA	NA	2.21634615384615	1.10817307692308	NA	NA	NA	NA	22.1634615384615	NA	NA	NA	NA	1.10817307692308	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7846.97355769231	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.10817307692308	3.32451923076923	8.86538461538461	NA	NA	NA	NA	NA	4.43269230769231	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	882.105769230769	NA	NA	21.0552884615385	NA	NA	NA	NA	NA	NA	NA
Sample11	26.5993975903614	NA	NA	NA	NA	NA	NA	NA	NA	359.09186746988	NA	NA	NA	NA	NA	26.5993975903614	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	66.4984939759036	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	47054.3343373494	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	246110.926204819	NA	11357.9427710843	NA	NA	NA	NA	611.786144578313	NA	106.397590361446	NA	NA	NA	NA	NA	NA	NA	NA
Sample12	NA	NA	NA	NA	NA	159.645164476934	NA	1.28469821199249	NA	NA	NA	NA	NA	NA	NA	NA	1.45599130692482	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.31245678158649	45.3926701570681	0.599525832263163	NA	0.0856465474661662	NA	298.563864467055	7436.86100958214	NA	NA	0.342586189864665	NA	0.599525832263163	NA	NA	NA	NA	0.428232737330831	NA	NA	NA	NA	NA	2.99762916131582	NA	NA	NA	7.36560308209029	NA	NA	NA	1.88422404425566	NA	NA	NA	2.14116368665415	NA	6.16655141756396	NA	3.42586189864665	NA	NA	NA	NA	NA	NA	NA	0.256939642398498	NA	NA	NA	NA	33.6590931542033	NA	NA	0.342586189864665	NA	NA	NA	NA	NA
Sample13	NA	NA	NA	NA	NA	17.1318327974277	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	35.4212218649518	NA	NA	2.31511254019293	NA	0.463022508038585	NA	NA	NA	NA	7.17684887459807	NA	NA	NA	NA	NA	0.231511254019293	0.231511254019293	NA	NA	0.463022508038585	NA	NA	NA	NA	4.16720257234727	NA	NA	NA	NA	0.463022508038585	NA	NA	0.231511254019293	NA	0.463022508038585	NA	8.79742765273312	NA	NA	NA	NA	NA	NA	3.47266881028939	NA	NA	NA	NA	NA	NA	0.694533762057878	NA	1192.7459807074	NA	NA	NA	NA	0.231511254019293	NA	NA	0.231511254019293	NA	NA
Sample14	NA	NA	NA	0.172551588601376	NA	550.353291844088	NA	0.388241074353095	NA	NA	0.301965280052407	0.129413691451032	NA	NA	NA	NA	0.258827382902064	NA	NA	0.21568948575172	9.18837209302326	0.258827382902064	NA	NA	NA	NA	NA	NA	1.38041270881101	NA	NA	NA	NA	NA	2423.05568293482	419.343498198493	NA	3.62358336062889	NA	NA	1.50982640026204	NA	NA	0.0431378971503439	NA	0.129413691451032	NA	NA	NA	NA	NA	0.0431378971503439	NA	NA	NA	5.78047821814609	NA	NA	1.38041270881101	NA	1.7686537831641	NA	4.05496233213233	NA	NA	NA	NA	56.1224041925974	NA	1.12158532590894	NA	NA	NA	NA	0.474516868653783	0.172551588601376	NA	NA	NA	NA	11.8197838191942	NA	NA	1.50982640026204	NA	NA	NA	NA	NA
Sample15	NA	NA	NA	NA	NA	3951.06991897085	NA	1.37181522011528	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.32278005179183	NA	0.32278005179183	NA	NA	NA	NA	195.039846295213	NA	NA	NA	NA	16.9459527190711	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.161390025895915	NA	NA	0.806950129479576	0.806950129479576	NA	NA	NA	NA	0.806950129479576	NA	NA	1.93668031075098	NA	NA	NA	5.56795589340907	NA	NA	NA	NA	NA	NA	NA	0.564865090635703	3.2278005179183	NA	520.72491855317	NA	11.8621669033498	NA	NA	0.242085038843873	NA	NA	NA	NA	NA
Sample16	NA	20.951825448261	NA	NA	NA	34.1119032188378	NA	0.0920285158781594	NA	NA	0.0613523439187729	0.0306761719593865	NA	1.5951609418881	NA	216.880535752862	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.674875783106502	7.05551955065889	0.0613523439187729	NA	0.276085547634478	NA	13.3134586303737	666.378483473752	NA	NA	NA	NA	0.0920285158781594	NA	0.582847267228343	0.0306761719593865	NA	0.429466407431411	NA	NA	NA	NA	NA	0.889608986822208	NA	NA	NA	4.60142579390797	NA	NA	NA	NA	NA	NA	0.460142579390797	NA	NA	NA	NA	25.798660617844	NA	NA	NA	NA	294.307193778354	NA	NA	NA	NA	NA	NA	NA	83.9913588248002	NA	NA	0.0306761719593865	NA	NA	NA	NA	NA
Sample17	NA	NA	NA	NA	NA	445.496027241771	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5358.12826333712	NA	NA	5.01362088535755	NA	NA	NA	NA	NA	49.4199772985244	270.735527809308	NA	NA	NA	NA	1.43246311010216	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.14869466515323	NA	NA	NA	NA	NA	NA	24.3518728717367	NA	0.716231555051078	NA	NA	NA	NA	NA	NA	4572.42224744608	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19.3382519863791	53.0011350737798	NA	NA	NA	NA	NA	0.716231555051078	NA
Sample18	NA	12.7664097897223	NA	NA	NA	56.2741354606359	0.919877628470743	NA	NA	NA	NA	NA	NA	0.596677380629671	NA	1.66572435425783	NA	NA	NA	0.47236959299849	NA	NA	NA	NA	NA	196.319289005925	NA	NA	4.69883437245866	NA	2.69747899159664	NA	5.39495798319328	NA	NA	20.0011230298571	NA	0.174030902683654	NA	NA	NA	NA	0.53452348681408	NA	0.0745846725787089	0.124307787631182	NA	NA	NA	NA	NA	8.46536033768346	NA	NA	NA	0.236184796499245	NA	7.55791348797584	NA	NA	0.161600123920536	NA	NA	1.24307787631182	NA	NA	0.124307787631182	15.9611199318437	NA	0.0745846725787089	2.3991403012818	NA	54.9067497966929	205.6299422995	NA	NA	0.67126205320838	2.3991403012818	0.919877628470743	NA	NA	NA	NA	NA	NA	NA	0.1367385663943	NA	NA
Sample19	NA	10.8413384506465	NA	NA	NA	3.76662816261132	NA	0.0327532883705332	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0808585162276	NA	NA	NA	NA	NA	NA	NA	NA	2.22722360919626	9.79323322278943	NA	NA	NA	NA	NA	659.913254089503	NA	NA	4.84748667883892	NA	NA	NA	NA	NA	NA	6.38689123225398	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0655065767410664	NA	NA	NA	NA	0.262026306964266	NA	NA	0.622312479040131	NA	8.54860826470917	NA	42.4810150165816	NA	NA	NA	NA	16.769683645713	NA	NA	0.720572344151731	0.0327532883705332	NA	9295.51425271081	NA	15.0010060737042	NA	0.491299325557998	0.0327532883705332	NA	NA	NA	0.720572344151731	NA
Sample20	NA	NA	NA	NA	NA	64.3032159264931	0.607452782031649	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.2149055640633	NA	NA	NA	NA	NA	NA	669.933639612047	NA	NA	0.347115875446656	19.3083205717203	0.0433894844308321	NA	0.477284328739153	NA	NA	NA	NA	NA	0.21694742215416	NA	NA	NA	0.954568657478305	NA	NA	0.260336906584992	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.520673813169985	NA	NA	NA	NA	2.73353751914242	NA	NA	NA	20.2628892291986	NA	NA	0.477284328739153	NA	NA	NA	0.694231750893313	NA	NA	NA	NA	NA	14.7090352220521	2.73353751914242	NA	NA	NA	NA	NA	NA	NA
